run_id,n_generated,legal_char_rate,length_in_train_range_rate,exact_copy_train_rate,mean_nearest_train_identity,median_nearest_train_identity,p05_nearest_train_identity,p95_nearest_train_identity,max_nearest_train_identity,novel_sequence_rate,novel_below_70_identity_rate,novel_below_80_identity_rate,novel_below_90_identity_rate,unique_ratio,mean_pairwise_diversity,max_duplicate_fraction,aa_composition_l1_distance,family_profile_hit_rate,family_profile_status
aa_frequency_seed42,1000,1.0,1.0,0.0,0.5668135989767182,0.5660377358490566,0.4833045977011494,0.6483494363929144,0.7608695652173914,1.0,0.993,1.0,1.0,1.0,0.5420840944120123,0.001,0.012011208987412174,,not_run
aa_frequency_seed43,1000,1.0,1.0,0.0,0.5287508142186527,0.5272727272727272,0.43859649122807015,0.6251225490196077,0.7307692307692307,1.0,0.998,1.0,1.0,1.0,0.542712670494439,0.001,0.010833007616534022,,not_run
aa_frequency_seed44,1000,1.0,1.0,0.0,0.5314506786466007,0.5333333333333333,0.4406779661016949,0.620132075471698,0.7380952380952381,1.0,0.996,1.0,1.0,1.0,0.5448324509125274,0.001,0.014073178923021123,,not_run
kmer3_seed42,1000,1.0,0.997,0.0,0.6977271307271253,0.6964285714285714,0.5372334754797441,0.857268170426065,0.9767441860465116,0.997,0.508,0.842,0.985,1.0,0.3885689366633231,0.001,0.047102675329635545,,not_run
kmer3_seed43,1000,1.0,0.998,0.0,0.6959196081477655,0.6949152542372882,0.5305522208883554,0.8653846153846154,0.9824561403508771,0.996,0.507,0.839,0.977,1.0,0.39033015953979705,0.001,0.04840950322544596,,not_run
kmer3_seed44,1000,1.0,0.997,0.0,0.6939779518519023,0.6964285714285714,0.5254237288135594,0.8518518518518519,0.9777777777777777,0.995,0.515,0.853,0.984,1.0,0.39071462515444727,0.001,0.038986327533753355,,not_run
lstm_temp0.7_seed42,1000,1.0,0.986,0.003,0.9553171751609989,0.9583333333333334,0.9076923076923077,0.9859154929577465,1.0,0.287,0.003,0.006,0.04,0.987,0.0790676869053481,0.005,0.03254354766293809,,not_run
lstm_temp1_seed42,1000,1.0,0.871,0.0,0.8722810738810745,0.8888888888888888,0.7498134328358209,0.9682787698412698,1.0,0.875,0.021,0.12,0.565,0.991,0.2397422676722721,0.01,0.054731454424299095,,not_run
lstm_temp1.3_seed42,1000,1.0,0.646,0.0,0.7820130393496079,0.8,0.6166025641025641,0.9524542124542124,1.0,0.949,0.137,0.489,0.896,0.974,0.35770976061671156,0.021,0.11597194590562312,,not_run
vae_scale0.5_temp1_seed42,1000,1.0,0.76,0.0,0.7447100124576148,0.7575757575757576,0.5491037131882203,0.9717701863354035,1.0,0.928,0.324,0.621,0.84,0.968,0.36059268877349726,0.032,0.31220140150811637,,not_run
vae_scale1_temp1_seed42,1000,1.0,0.75,0.0,0.735768151192891,0.7419354838709677,0.5454545454545454,0.979315476190476,1.0,0.914,0.373,0.658,0.844,0.97,0.36846121252367114,0.028,0.3260808825848288,,not_run
vae_scale1.5_temp1_seed42,1000,1.0,0.748,0.0,0.7273923743597435,0.7258064516129032,0.532160312805474,1.0,1.0,0.906,0.421,0.668,0.854,0.971,0.3799962624046417,0.026,0.3274970505006944,,not_run
