accession,gene_name,protein_name,organism,sequence_length
WP_453164016,gvpK,Unknown,Streptomyces niveus,46
WP_449686935,gvpK,Unknown,unclassified Amycolatopsis,77
WP_380243730,gvpK,Unknown,unclassified Isoptericola,109
WP_452151622,gvpK,Unknown,Kitasatospora sp. NPDC004240,29
WP_452065018,gvpK,Unknown,Amycolatopsis sp. NPDC003865,71
WP_451969090,gvpK,Unknown,Amycolatopsis sp. NPDC004378,71
WP_451386614,gvpK,Unknown,Streptomyces sp. NPDC002676,45
WP_451314641,gvpK,Unknown,Streptomyces sp. NPDC002596,41
WP_450506528,gvpK,Unknown,Streptomyces sp. NPDC000851,47
WP_450202636,gvpK,Unknown,Streptomyces flavidovirens,123
WP_450155053,gvpK,Unknown,Streptomyces coeruleorubidus,26
WP_450093803,gvpK,Unknown,Promicromonospora sukumoe,105
WP_445133725,gvpK,Unknown,Streptomyces sp. DW26H14,141
WP_445128373,gvpK,Unknown,Streptomyces anulatus,98
WP_445092722,gvpK,Unknown,Nocardia sp. R6R-6,101
WP_444870468,gvpK,Unknown,Rhodobacter capsulatus,32
WP_440955497,gvpK,Unknown,Methanosarcina sp. Mfa9,121
WP_440305615,gvpK,Unknown,Jatrophihabitans sp.,89
WP_440009968,gvpK,Unknown,Halomicrococcus sp. SG-WS-1,107
WP_436384761,gvpK,Unknown,Amycolatopsis sp. MEPSY49,71
WP_435612594,gvpK,Unknown,Streptomyces sp. bgisy159,80
WP_435348180,gvpK,Unknown,Haloarchaeobius sp. HRN-SO-5,115
WP_435076953,gvpK,Unknown,Halococcus sp. AFM35,104
WP_433627184,gvpK,Unknown,Halomicrococcus sp. NG-SE-24,107
WP_430572410,gvpK,Unknown,Isoptericola sp. NPDC057391,111
WP_430558500,gvpK,Unknown,Isoptericola sp. NPDC019693,111
WP_430545128,gvpK,Unknown,unclassified Isoptericola,109
WP_429732573,gvpK,Unknown,Isoptericola variabilis,111
WP_429466635,gvpK,Unknown,Neobacillus sp. B4I6,75
WP_424873385,gvpK,Unknown,Streptomyces levis,60
WP_274373495,gvpK,Unknown,Synergistales,104
WP_164250793,gvpK,Unknown,Streptomyces coelicoflavus,103
WP_246906051,gvpK,Unknown,unclassified Arenibacter,105
WP_244704587,gvpK,Unknown,Halococcus dombrowskii,105
WP_179267288,gvpK,Unknown,Halorarum salinum,119
WP_173872780,gvpK,Unknown,Streptomyces albus,102
WP_160693914,gvpK,Unknown,Amycolatopsis sp. SID8362,71
WP_157734376,gvpK,Unknown,Frankia sp. AvcI1,131
WP_125308124,gvpK,Unknown,Amycolatopsis eburnea,71
WP_076834364,gvpK,Unknown,Frankia sp. CcI49,129
WP_252470565,gvpK,Unknown,Desulfosporosinus nitroreducens,104
WP_186282979,gvpK,Unknown,Streptomyces cupreus,93
WP_173868886,gvpK,Unknown,Streptomyces albus,91
WP_165161352,gvpK,Unknown,Natronolimnobius sp. AArcel1,116
