sequence_id,length,legal_chars,length_in_train_range,family_profile_hit,faithful
vae_scale1_temp0.8_seed42_0000,80,True,True,True,True
vae_scale1_temp0.8_seed42_0001,81,True,True,True,True
vae_scale1_temp0.8_seed42_0002,59,True,True,True,True
vae_scale1_temp0.8_seed42_0003,91,True,True,True,True
vae_scale1_temp0.8_seed42_0004,91,True,True,True,True
vae_scale1_temp0.8_seed42_0005,91,True,True,True,True
vae_scale1_temp0.8_seed42_0006,62,True,True,False,False
vae_scale1_temp0.8_seed42_0007,89,True,True,True,True
vae_scale1_temp0.8_seed42_0008,91,True,True,True,True
vae_scale1_temp0.8_seed42_0009,91,True,True,True,True
vae_scale1_temp0.8_seed42_0010,71,True,True,True,True
vae_scale1_temp0.8_seed42_0011,91,True,True,True,True
vae_scale1_temp0.8_seed42_0012,82,True,True,True,True
vae_scale1_temp0.8_seed42_0013,63,True,True,True,True
vae_scale1_temp0.8_seed42_0014,91,True,True,True,True
vae_scale1_temp0.8_seed42_0015,91,True,True,True,True
vae_scale1_temp0.8_seed42_0016,89,True,True,True,True
vae_scale1_temp0.8_seed42_0017,73,True,True,True,True
vae_scale1_temp0.8_seed42_0018,86,True,True,True,True
vae_scale1_temp0.8_seed42_0019,91,True,True,True,True
vae_scale1_temp0.8_seed42_0020,91,True,True,True,True
vae_scale1_temp0.8_seed42_0021,60,True,True,True,True
vae_scale1_temp0.8_seed42_0022,72,True,True,True,True
vae_scale1_temp0.8_seed42_0023,91,True,True,True,True
vae_scale1_temp0.8_seed42_0024,91,True,True,True,True
vae_scale1_temp0.8_seed42_0025,59,True,True,False,False
vae_scale1_temp0.8_seed42_0026,62,True,True,True,True
vae_scale1_temp0.8_seed42_0027,91,True,True,False,False
vae_scale1_temp0.8_seed42_0028,59,True,True,True,True
vae_scale1_temp0.8_seed42_0029,82,True,True,True,True
vae_scale1_temp0.8_seed42_0030,73,True,True,False,False
vae_scale1_temp0.8_seed42_0031,60,True,True,True,True
vae_scale1_temp0.8_seed42_0032,61,True,True,True,True
vae_scale1_temp0.8_seed42_0033,91,True,True,True,True
vae_scale1_temp0.8_seed42_0034,91,True,True,True,True
vae_scale1_temp0.8_seed42_0035,91,True,True,True,True
vae_scale1_temp0.8_seed42_0036,91,True,True,True,True
vae_scale1_temp0.8_seed42_0037,91,True,True,True,True
vae_scale1_temp0.8_seed42_0038,91,True,True,True,True
vae_scale1_temp0.8_seed42_0039,91,True,True,True,True
vae_scale1_temp0.8_seed42_0040,91,True,True,True,True
vae_scale1_temp0.8_seed42_0041,85,True,True,True,True
vae_scale1_temp0.8_seed42_0042,91,True,True,True,True
vae_scale1_temp0.8_seed42_0043,91,True,True,True,True
vae_scale1_temp0.8_seed42_0044,71,True,True,True,True
vae_scale1_temp0.8_seed42_0045,91,True,True,True,True
vae_scale1_temp0.8_seed42_0046,90,True,True,True,True
vae_scale1_temp0.8_seed42_0047,85,True,True,True,True
vae_scale1_temp0.8_seed42_0048,60,True,True,True,True
vae_scale1_temp0.8_seed42_0049,91,True,True,True,True
vae_scale1_temp0.8_seed42_0050,91,True,True,True,True
vae_scale1_temp0.8_seed42_0051,91,True,True,True,True
vae_scale1_temp0.8_seed42_0052,91,True,True,True,True
vae_scale1_temp0.8_seed42_0053,70,True,True,True,True
vae_scale1_temp0.8_seed42_0054,91,True,True,True,True
vae_scale1_temp0.8_seed42_0055,72,True,True,True,True
vae_scale1_temp0.8_seed42_0056,59,True,True,True,True
vae_scale1_temp0.8_seed42_0057,89,True,True,True,True
vae_scale1_temp0.8_seed42_0058,75,True,True,True,True
vae_scale1_temp0.8_seed42_0059,91,True,True,True,True
vae_scale1_temp0.8_seed42_0060,91,True,True,True,True
vae_scale1_temp0.8_seed42_0061,82,True,True,True,True
vae_scale1_temp0.8_seed42_0062,91,True,True,True,True
vae_scale1_temp0.8_seed42_0063,91,True,True,True,True
vae_scale1_temp0.8_seed42_0064,74,True,True,True,True
vae_scale1_temp0.8_seed42_0065,91,True,True,True,True
vae_scale1_temp0.8_seed42_0066,60,True,True,True,True
vae_scale1_temp0.8_seed42_0067,91,True,True,True,True
vae_scale1_temp0.8_seed42_0068,72,True,True,True,True
vae_scale1_temp0.8_seed42_0069,91,True,True,True,True
vae_scale1_temp0.8_seed42_0070,74,True,True,True,True
vae_scale1_temp0.8_seed42_0071,91,True,True,True,True
vae_scale1_temp0.8_seed42_0072,91,True,True,True,True
vae_scale1_temp0.8_seed42_0073,91,True,True,True,True
vae_scale1_temp0.8_seed42_0074,59,True,True,True,True
vae_scale1_temp0.8_seed42_0075,91,True,True,True,True
vae_scale1_temp0.8_seed42_0076,91,True,True,True,True
vae_scale1_temp0.8_seed42_0077,91,True,True,False,False
vae_scale1_temp0.8_seed42_0078,72,True,True,True,True
vae_scale1_temp0.8_seed42_0079,85,True,True,True,True
vae_scale1_temp0.8_seed42_0080,91,True,True,True,True
vae_scale1_temp0.8_seed42_0081,59,True,True,True,True
vae_scale1_temp0.8_seed42_0082,74,True,True,True,True
vae_scale1_temp0.8_seed42_0083,72,True,True,True,True
vae_scale1_temp0.8_seed42_0084,75,True,True,True,True
vae_scale1_temp0.8_seed42_0085,70,True,True,True,True
vae_scale1_temp0.8_seed42_0086,91,True,True,True,True
vae_scale1_temp0.8_seed42_0087,71,True,True,True,True
vae_scale1_temp0.8_seed42_0088,67,True,True,True,True
vae_scale1_temp0.8_seed42_0089,73,True,True,True,True
vae_scale1_temp0.8_seed42_0090,91,True,True,True,True
vae_scale1_temp0.8_seed42_0091,80,True,True,True,True
vae_scale1_temp0.8_seed42_0092,60,True,True,True,True
vae_scale1_temp0.8_seed42_0093,62,True,True,True,True
vae_scale1_temp0.8_seed42_0094,72,True,True,True,True
vae_scale1_temp0.8_seed42_0095,91,True,True,True,True
vae_scale1_temp0.8_seed42_0096,59,True,True,True,True
vae_scale1_temp0.8_seed42_0097,83,True,True,True,True
vae_scale1_temp0.8_seed42_0098,91,True,True,True,True
vae_scale1_temp0.8_seed42_0099,71,True,True,True,True
