accession,gene_name,protein_name,organism,sequence_length
WP_457331057,gvpU,Unknown,Salibacterium sp. K-3,129
WP_442454672,gvpU,Unknown,Priestia,138
WP_457005751,gvpU,Unknown,Luteimonas sp. A501,151
WP_184388665,gvpU,Unknown,Xanthomonas,152
WP_122469392,gvpU,Unknown,Pseudomonas syringae,155
WP_394530350,gvpU,Unknown,Priestia aryabhattai,138
WP_455897479,gvpU,Unknown,Rummeliibacillus sp. JY-2-4R,129
WP_454752051,gvpU,Unknown,Cupriavidus necator,141
WP_309917416,gvpU,Unknown,unclassified Xanthomonas,153
WP_207465905,gvpU,Unknown,Achromobacter,148
WP_142129706,gvpU,Unknown,Rossellomorea marisflavi,130
WP_454638636,gvpU,Unknown,Staphylococcus equorum,127
WP_454239696,gvpU,Unknown,Pseudomonas viridiflava,156
WP_454101012,gvpU,Unknown,Metabacillus sp. SLBN-84,137
WP_454010295,gvpU,Unknown,Aeromonas sp. Marseille-Q7275,149
WP_449366194,gvpU,Unknown,Xanthomonas axonopodis,152
WP_449365757,gvpU,Unknown,Xanthomonas axonopodis,152
WP_449364643,gvpU,Unknown,Xanthomonas citri,152
WP_449362582,gvpU,Unknown,Xanthomonas citri,152
WP_449295553,gvpU,Unknown,Pseudomonas caspiana,154
WP_449117312,gvpU,Unknown,Pseudomonas viridiflava,156
WP_449103324,gvpU,Unknown,Pseudomonas veronii,155
WP_448718044,gvpU,Unknown,Achromobacter sp. AGC78,147
WP_448705505,gvpU,Unknown,Achromobacter sp. AGC39,146
WP_447991239,gvpU,Unknown,Achromobacter spanius,147
WP_179215216,gvpU,Unknown,Achromobacter,138
WP_447067454,gvpU,Unknown,Achromobacter anxifer,138
WP_020926506,gvpU,Unknown,Achromobacter,147
WP_446439780,gvpU,Unknown,Pseudomonas sp. 910_21,124
WP_446420334,gvpU,Unknown,Coleofasciculus sp.,145
WP_446407806,gvpU,Unknown,Coleofasciculus sp.,145
WP_446401523,gvpU,Unknown,Coleofasciculus sp. C1-SOL-03,146
WP_446391426,gvpU,Unknown,Coleofasciculus sp. B1-GNL1-01,147
WP_446244750,gvpU,Unknown,Rossellomorea sp. NS-SX7,130
WP_263910077,gvpU,Unknown,unclassified Achromobacter,151
WP_445491019,gvpU,Unknown,Niallia sp. 03133,136
WP_333235137,gvpU,Unknown,unclassified Microcoleus,154
WP_444982603,gvpU,Unknown,Pseudomonas alliivorans,156
WP_394584209,gvpU,Unknown,Halobacillus sp. B23F22_1,122
WP_394462047,gvpU,Unknown,Thalassobacillus sp. B23F22_16,124
WP_444629807,gvpU,Unknown,unclassified Halomonas,144
WP_377907695,gvpU,Unknown,Bacillaceae,130
WP_036578428,gvpU,Unknown,Oceanobacillus,135
WP_443492354,gvpU,Unknown,Pseudomonas helleri,155
WP_443143383,gvpU,Unknown,Pseudalkalibacillus sp. R45,143
WP_443139193,gvpU,Unknown,Piscibacillus sp. B03,90
WP_224893494,gvpU,Unknown,Halobacillus,121
WP_443134281,gvpU,Unknown,Halobacillus sp. K22,121
WP_443119799,gvpU,Unknown,Halobacillus sp. H74,121
WP_442108213,gvpU,Unknown,Pseudomonas sp. NUPR-001,164
WP_440073455,gvpU,Unknown,Pseudomonas fragariae (ex Marin et al. 2024),160
WP_439940550,gvpU,Unknown,Pseudomonas syringae,160
WP_439916700,gvpU,Unknown,Pseudomonas syringae,160
WP_145580735,gvpU,Unknown,Metabacillus sp. 22489,138
WP_440388914,gvpU,Unknown,Priestia megaterium,138
WP_440552041,gvpU,Unknown,Staphylococcus simulans,126
WP_024639938,gvpU,Unknown,Pseudomonas,160
WP_011267097,gvpU,Unknown,Pseudomonas,160
WP_122573781,gvpU,Unknown,Pseudomonas syringae group,156
WP_439300225,gvpU,Unknown,Pseudalkalibacillus sp. Hm43,138
WP_439253568,gvpU,Unknown,Metabacillus sp. Hm71,137
WP_436197415,gvpU,Unknown,Paraburkholderia hospita,151
WP_436964899,gvpU,Unknown,Staphylococcus xylosus,128
WP_435988893,gvpU,Unknown,Rossellomorea sp. LjRoot5,133
WP_110939069,gvpU,Unknown,Salipaludibacillus,131
WP_434643819,gvpU,Unknown,Achromobacter piechaudii,147
WP_434998682,gvpU,Unknown,Vibrio scophthalmi,143
WP_434701528,gvpU,Unknown,Pseudomonas sp. D1-36,156
WP_433742420,gvpU,Unknown,Falsibacillus pallidus,132
WP_433704437,gvpU,Unknown,Paraburkholderia sacchari,146
WP_433806599,gvpU,Unknown,Halobacillus mangrovi,121
WP_179505671,gvpU,Unknown,Novosphingobium rhizosphaerae,157
WP_432723755,gvpU,Unknown,Staphylococcus equorum,128
WP_431194745,gvpU,Unknown,Achromobacter xylosoxidans,140
WP_431802145,gvpU,Unknown,Halobacillus andaensis,122
WP_431306956,gvpU,Unknown,Achromobacter xylosoxidans,141
WP_430353588,gvpU,Unknown,Viridibacillus arvi,125
WP_430337573,gvpU,Unknown,Rossellomorea vietnamensis,133
WP_430055790,gvpU,Unknown,Priestia aryabhattai,138
WP_430006383,gvpU,Unknown,Metabacillus idriensis,137
WP_093880468,gvpU,Unknown,Terribacillus saccharophilus,123
WP_038564399,gvpU,Unknown,Terribacillus saccharophilus,123
WP_430313469,gvpU,Unknown,Rossellomorea sp. NRS-1567,133
WP_290399128,gvpU,Unknown,Fictibacillus,128
WP_429663433,gvpU,Unknown,Bacillus gobiensis,128
WP_429351769,gvpU,Unknown,Paenibacillus sp. 4624,131
WP_427955915,gvpU,Unknown,Achromobacter marplatensis,148
WP_427255316,gvpU,Unknown,Aeromonas rivipollensis,150
WP_427137212,gvpU,Unknown,Psychrobacillus psychrodurans,131
WP_426913500,gvpU,Unknown,Sutcliffiella horikoshii,137
WP_426911555,gvpU,Unknown,Sutcliffiella horikoshii,229
WP_426910011,gvpU,Unknown,Sutcliffiella horikoshii,131
WP_426892824,gvpU,Unknown,Rossellomorea aquimaris,133
