sequence_id,length,legal_chars,length_in_train_range,exact_copy_train,exact_copy_any_real,nearest_train_id,nearest_train_identity,nearest_train_query_coverage,nearest_train_target_coverage,novel_at_threshold,pf00741_hit,pf00741_evalue,pf00741_score,pf00741_coverage,gvpa_core95_hit,gvpa_core95_evalue,gvpa_core95_score,gvpa_core95_coverage,conserved_sites_scored,conservation_exact_fidelity,conservation_property_fidelity,hydrophobic_fraction,charged_fraction,polar_fraction,aromatic_fraction,beta_favoring_fraction,net_charge_per_residue,mean_hydropathy,basic_fidelity_pass,hard_fidelity_pass
aa_frequency_seed42_0000,72,True,True,False,False,WP_280793164.1,0.6,0.7638888888888888,0.7746478873239436,True,,,,,,,,,55,0.5636363636363636,0.7818181818181819,0.5138888888888888,0.2916666666666667,0.18055555555555555,0.027777777777777776,0.2916666666666667,-0.125,0.24027777777777778,True,
aa_frequency_seed42_0001,75,True,True,False,False,WP_458646425.1,0.5483870967741935,0.8266666666666667,0.6813186813186813,True,,,,,,,,,44,0.5909090909090909,0.7954545454545454,0.5866666666666667,0.14666666666666667,0.26666666666666666,0.06666666666666667,0.3466666666666667,-0.06666666666666667,0.8346666666666667,True,
aa_frequency_seed42_0002,71,True,True,False,False,WP_425589715.1,0.48333333333333334,0.8450704225352113,0.75,True,,,,,,,,,57,0.42105263157894735,0.6666666666666666,0.6197183098591549,0.18309859154929578,0.16901408450704225,0.0,0.28169014084507044,-0.07042253521126761,1.152112676056338,True,
aa_frequency_seed42_0003,73,True,True,False,False,WP_322681236.1,0.5,0.7397260273972602,0.75,True,,,,,,,,,52,0.46153846153846156,0.6346153846153846,0.4794520547945205,0.2602739726027397,0.2328767123287671,0.0547945205479452,0.2465753424657534,-0.0684931506849315,-0.10821917808219177,True,
aa_frequency_seed42_0004,72,True,True,False,False,WP_413173344.1,0.5178571428571429,0.7777777777777778,0.7368421052631579,True,,,,,,,,,52,0.5,0.6923076923076923,0.6527777777777778,0.20833333333333334,0.125,0.06944444444444445,0.4722222222222222,-0.06944444444444445,1.0305555555555557,True,
aa_frequency_seed42_0005,73,True,True,False,False,WP_015164085.1,0.6538461538461539,0.7123287671232876,0.7123287671232876,True,,,,,,,,,50,0.6,0.82,0.4794520547945205,0.2602739726027397,0.1780821917808219,0.0,0.2465753424657534,0.0136986301369863,0.4479452054794521,True,
aa_frequency_seed42_0006,71,True,True,False,False,WP_009626980.1,0.5660377358490566,0.7464788732394366,0.7361111111111112,True,,,,,,,,,51,0.5294117647058824,0.7254901960784313,0.5352112676056338,0.23943661971830985,0.19718309859154928,0.0,0.29577464788732394,-0.04225352112676056,0.6788732394366198,True,
aa_frequency_seed42_0007,59,True,True,False,False,WP_502881973.1,0.46,0.847457627118644,0.625,True,,,,,,,,,42,0.40476190476190477,0.7142857142857143,0.5423728813559322,0.1864406779661017,0.2711864406779661,0.1016949152542373,0.3559322033898305,0.01694915254237288,0.23389830508474577,True,
aa_frequency_seed42_0008,72,True,True,False,False,GAB4386638.1,0.5818181818181818,0.7638888888888888,0.7638888888888888,True,,,,,,,,,53,0.5471698113207547,0.6981132075471698,0.4444444444444444,0.20833333333333334,0.19444444444444445,0.027777777777777776,0.25,-0.09722222222222222,0.4361111111111111,True,
aa_frequency_seed42_0009,80,True,True,False,False,WP_293124005.1,0.48214285714285715,0.7,0.7777777777777778,True,,,,,,,,,55,0.41818181818181815,0.7090909090909091,0.4625,0.25,0.2375,0.05,0.2375,0.025,-0.09374999999999997,True,
