accession,gene_name,protein_name,organism,sequence_length
WP_457782430,gvpJ,Unknown,Streptomyces humi,130
WP_457693978,gvpJ,Unknown,Streptomyces nigrescens,157
WP_457533952,gvpJ,Unknown,Streptomyces sp. MN13,128
WP_457530613,gvpJ,Unknown,Streptomyces sp. MN13,207
WP_457502447,gvpJ,Unknown,unclassified Thermostichus,428
WP_457491578,gvpJ,Unknown,Thermostichus sp. MS-CIW-23,424
WP_457489541,gvpJ,Unknown,Thermostichus sp. MS-CIW-41,424
WP_457479662,gvpJ,Unknown,Streptomyces sp. WG-D5,132
WP_457473815,gvpJ,Unknown,Thermostichus sp. MS-CIW-40,424
WP_457466005,gvpJ,Unknown,unclassified Thermostichus,424
WP_457444704,gvpJ,Unknown,Thermostichus sp. MS-CIW-26,432
WP_457406133,gvpJ,Unknown,unclassified Thermostichus,424
WP_457403175,gvpJ,Unknown,unclassified Thermostichus,424
WP_457395836,gvpJ,Unknown,Thermostichus sp. OS-CIW-29,424
WP_457394626,gvpJ,Unknown,unclassified Thermostichus,424
WP_457387133,gvpJ,Unknown,unclassified Thermostichus,436
WP_457384345,gvpJ,Unknown,unclassified Thermostichus,424
WP_456942560,gvpJ,Unknown,unclassified Geodermatophilus,70
WP_456929693,gvpJ,Unknown,unclassified Geodermatophilus,70
WP_456927505,gvpJ,Unknown,unclassified Geodermatophilus,122
WP_456545292,gvpJ,Unknown,unclassified Blastococcus,66
WP_456544658,gvpJ,Unknown,unclassified Blastococcus,122
WP_456541758,gvpJ,Unknown,Geodermatophilaceae,65
WP_456540131,gvpJ,Unknown,Geodermatophilaceae,103
WP_387991074,gvpJ,Unknown,Geodermatophilus,70
WP_387988280,gvpJ,Unknown,Geodermatophilus,122
WP_051379207,gvpJ,Unknown,Bradyrhizobium sp. USDA 10063,88
WP_457203799,gvpJ,Unknown,Nocardioides sp. HB32,165
WP_457202748,gvpJ,Unknown,Nocardioides sp. HB32,143
WP_457199886,gvpJ,Unknown,Nocardia gipuzkoensis,137
WP_457186284,gvpJ,Unknown,Nocardia sp. R16R-3T,137
WP_457149192,gvpJ,Unknown,Mycobacterium sp. URHB0021,147
WP_457112885,gvpJ,Unknown,Marmoricola sp. URHA0025 HA25,155
WP_457112879,gvpJ,Unknown,Marmoricola sp. URHA0025 HA25,66
WP_457052114,gvpJ,Unknown,Geodermatophilus sp. SYSU D01036,122
WP_457047974,gvpJ,Unknown,Geodermatophilus sp. SYSU D01045,122
WP_457044079,gvpJ,Unknown,Geodermatophilus sp. SYSU D01180,122
WP_456974701,gvpJ,Unknown,Geodermatophilus sp. SYSU D00815,103
WP_456956369,gvpJ,Unknown,Geodermatophilus sp. SYSU D00867,70
WP_456951659,gvpJ,Unknown,Geodermatophilus sp. SYSU D00698,122
WP_456950041,gvpJ,Unknown,Geodermatophilus sp. SYSU D00698,70
WP_456942456,gvpJ,Unknown,Geodermatophilus sp. SYSU D00525,122
WP_456936626,gvpJ,Unknown,Geodermatophilus sp. SYSU D00684,122
WP_456906142,gvpJ,Unknown,Geodermatophilus sp. SYSU D00703,75
WP_456905587,gvpJ,Unknown,Geodermatophilus sp. SYSU D00703,118
WP_275239519,gvpJ,Unknown,Luteipulveratus flavus,140
WP_456550888,gvpJ,Unknown,Blastococcus sp. SYSU D00813,120
WP_456548218,gvpJ,Unknown,Blastococcus sp. SYSU D00813,66
WP_394428551,gvpJ,Unknown,Streptomyces sp. SGAir0957,117
WP_153539943,gvpJ,Unknown,Actinomadura macrotermitis,144
WP_207018177,gvpJ,Unknown,Roseococcus,100
WP_164693481,gvpJ,Unknown,Falsiroseomonas,96
WP_206935545,gvpJ,Unknown,Roseococcus thiosulfatophilus,100
WP_203149271,gvpJ,Unknown,Micromonospora tarensis,116
WP_200306479,gvpJ,Unknown,Paracraurococcus ruber,98
WP_192784592,gvpJ,Unknown,Nonomuraea angiospora,136
WP_161480805,gvpJ,Unknown,Herbidospora solisilvae,141
WP_092960908,gvpJ,Unknown,Falsiroseomonas stagni,96
WP_456299802,gvpJ,Unknown,Nocardiopsis endophytica,183
WP_270153637,gvpJ,Unknown,Nonomuraea corallina,162
WP_089018725,gvpJ,Unknown,Micromonospora coriariae,127
WP_089018722,gvpJ,Unknown,Micromonospora coriariae,139
WP_089012235,gvpJ,Unknown,Micromonospora inositola,145
WP_088996298,gvpJ,Unknown,Micromonospora echinaurantiaca,140
WP_088976342,gvpJ,Unknown,Micromonospora coxensis,141
WP_088976339,gvpJ,Unknown,Micromonospora coxensis,122
WP_258905723,gvpJ,Unknown,Streptomyces thermocarboxydus,122
WP_120680288,gvpJ,Unknown,Micromonospora musae,144
WP_331214270,gvpJ,Unknown,Plantactinospora sonchi,124
WP_331211586,gvpJ,Unknown,Plantactinospora veratri,130
WP_231921173,gvpJ,Unknown,Micromonospora auratinigra,114
WP_201749033,gvpJ,Unknown,Micromonospora acroterricola,115
WP_168035250,gvpJ,Unknown,Falsiroseomonas selenitidurans,96
WP_162322109,gvpJ,Unknown,Nesterenkonia haasae,135
WP_146218366,gvpJ,Unknown,Micromonospora acroterricola,127
WP_117359600,gvpJ,Unknown,Actinomadura logoneensis,150
WP_091666737,gvpJ,Unknown,Micromonospora auratinigra,139
WP_089005026,gvpJ,Unknown,Micromonospora viridifaciens,125
WP_089005022,gvpJ,Unknown,Micromonospora viridifaciens,155
WP_088960025,gvpJ,Unknown,Micromonospora purpureochromogenes,162
WP_081998280,gvpJ,Unknown,Sinomonas humi,133
WP_043122602,gvpJ,Unknown,Sinomonas humi,134
WP_456212025,gvpJ,Unknown,Streptomyces sp. LZ34,174
WP_456209341,gvpJ,Unknown,Streptomyces sp. LZ34,152
WP_456197448,gvpJ,Unknown,Streptomyces sp. QTS137,152
WP_456182406,gvpJ,Unknown,Micromonospora sp. I033,140
WP_199315273,gvpJ,Unknown,Planktothrix sp. FACHB-1355,141
WP_190464721,gvpJ,Unknown,Aerosakkonema funiforme,147
WP_327109040,gvpJ,Unknown,Nonomuraea glycinis,131
WP_203174716,gvpJ,Unknown,Micromonospora parastrephiae,123
WP_120680294,gvpJ,Unknown,Micromonospora musae,125
WP_119726599,gvpJ,Unknown,Thermomonospora amylolytica,150
WP_111869158,gvpJ,Unknown,Actinomadura craniellae,140
WP_103960685,gvpJ,Unknown,Nonomuraea solani,146
WP_103939772,gvpJ,Unknown,Thermomonospora echinospora,140
WP_455881174,gvpJ,Unknown,Yinghuangia sp. USM6,162
WP_455749475,gvpJ,Unknown,Micromonospora echinofusca,147
WP_455566813,gvpJ,Unknown,Pimelobacter simplex,139
WP_455566424,gvpJ,Unknown,Nonomuraea angiospora,136
WP_455565651,gvpJ,Unknown,Micromonospora echinaurantiaca,140
WP_455565566,gvpJ,Unknown,Micromonospora purpureochromogenes,122
WP_455565565,gvpJ,Unknown,Micromonospora purpureochromogenes,144
WP_455449781,gvpJ,Unknown,Natrinema thermotolerans,199
WP_455769074,gvpJ,Unknown,Micromonospora chersina,144
WP_455768984,gvpJ,Unknown,Micromonospora chersina,140
WP_455749609,gvpJ,Unknown,Micromonospora chersina,140
WP_455749453,gvpJ,Unknown,Micromonospora chersina,142
WP_101412976,gvpJ,Unknown,Micromonospora echinofusca,147
WP_455709617,gvpJ,Unknown,Micromonospora sediminicola,132
WP_455709555,gvpJ,Unknown,Micromonospora chersina,142
WP_455644330,gvpJ,Unknown,Micromonospora chersina,142
WP_125639660,gvpJ,Unknown,Nonomuraea spiralis,139
WP_455565752,gvpJ,Unknown,Micromonospora maritima,137
WP_455565716,gvpJ,Unknown,Micromonospora chersina,140
WP_120284271,gvpJ,Unknown,Rhodococcus sp. 5G237,124
WP_455432454,gvpJ,Unknown,Thermocatellispora tengchongensis,96
WP_455430209,gvpJ,Unknown,Nonomuraea jabiensis,136
WP_455429998,gvpJ,Unknown,Micromonospora maritima,137
WP_455429997,gvpJ,Unknown,Micromonospora maritima,122
WP_455414842,gvpJ,Unknown,Plantactinospora sp. DSM 117369,125
WP_455399834,gvpJ,Unknown,Rhodococcus sp. 2H158,141
WP_455399633,gvpJ,Unknown,Rhodococcus sp. 2H158,137
WP_455351641,gvpJ,Unknown,unclassified Streptomyces,112
WP_398059815,gvpJ,Unknown,Streptomyces pristinaespiralis,162
WP_100109855,gvpJ,Unknown,Streptomyces xantholiticus,156
WP_455362364,gvpJ,Unknown,Streptomyces sp. SYSU K21746,150
WP_142129711,gvpJ,Unknown,Rossellomorea marisflavi,86
WP_454650960,gvpJ,Unknown,Bradyrhizobium liaoningense,206
WP_454638628,gvpJ,Unknown,Staphylococcus equorum,112
WP_454421887,gvpJ,Unknown,Streptomyces lydicus,143
WP_454406421,gvpJ,Unknown,Streptomyces sp. NPDC055400,152
WP_454386755,gvpJ,Unknown,Streptomyces sp. JNUCC 63,134
WP_454361703,gvpJ,Unknown,unclassified Streptomyces,34
WP_454326983,gvpJ,Unknown,Streptomyces glaucescens,203
WP_454296925,gvpJ,Unknown,Rhodococcus ruber,137
WP_454195647,gvpJ,Unknown,Nocardia sp. Marseille-Q1738,134
WP_454189043,gvpJ,Unknown,Nonomuraea wenchangensis,144
WP_454109708,gvpJ,Unknown,Leifsonia shinshuensis,142
WP_454109705,gvpJ,Unknown,Leifsonia shinshuensis,160
WP_265004924,gvpJ,Unknown,Micromonospora yasonensis,122
WP_265004920,gvpJ,Unknown,Micromonospora yasonensis,140
