sequence_id,source,source_type,length,projection_1,projection_2,nearest_train_embedding_distance,embedding_outlier
ABG51546.1,Real cyanobacterial GvpA,real,75,12.37842,9.992531,0.07263255,False
ABG51547.1,Real cyanobacterial GvpA,real,72,12.358082,9.671578,0.06647443,False
ABU55390.1,Real cyanobacterial GvpA,real,72,10.936231,9.3005,0.0,False
AOC53260.1,Real cyanobacterial GvpA,real,60,11.352369,6.611666,0.0,False
GAB4214070.1,Real cyanobacterial GvpA,real,72,12.206018,11.057734,0.0673368,False
GAB4386638.1,Real cyanobacterial GvpA,real,72,11.117559,10.465576,0.00069053395,False
GEA25652.1,Real cyanobacterial GvpA,real,84,13.333592,5.972091,0.0,False
WP_002735503.1,Real cyanobacterial GvpA,real,71,13.800216,7.415096,0.0,False
WP_007357596.1,Real cyanobacterial GvpA,real,72,9.240275,8.48683,0.00048828125,False
WP_008311322.1,Real cyanobacterial GvpA,real,72,11.750359,9.576029,0.00048828125,False
WP_009626980.1,Real cyanobacterial GvpA,real,72,11.099081,9.430612,0.00048828125,False
WP_009768191.1,Real cyanobacterial GvpA,real,72,12.414367,10.608843,0.0,False
WP_010996411.1,Real cyanobacterial GvpA,real,71,13.371607,7.2858253,0.0,False
WP_011316976.1,Real cyanobacterial GvpA,real,71,13.45189,7.49393,0.00077204045,False
WP_011429717.1,Real cyanobacterial GvpA,real,72,10.595329,10.30423,0.03515286,False
WP_012408764.1,Real cyanobacterial GvpA,real,73,11.765807,6.343466,0.00034526698,False
WP_015080752.1,Real cyanobacterial GvpA,real,71,13.081123,7.3590994,0.0,False
WP_015146561.1,Real cyanobacterial GvpA,real,72,11.3731165,8.800587,0.0,False
WP_015164085.1,Real cyanobacterial GvpA,real,73,10.638997,9.986935,0.0,False
WP_015167036.1,Real cyanobacterial GvpA,real,72,10.900885,9.788243,0.0,False
WP_015171018.1,Real cyanobacterial GvpA,real,72,12.086113,9.673779,0.00034526698,False
WP_015224598.1,Real cyanobacterial GvpA,real,72,6.3597646,8.961603,0.22117767,False
WP_015229078.1,Real cyanobacterial GvpA,real,72,7.4277477,8.739101,0.13307388,False
WP_016922591.1,Real cyanobacterial GvpA,real,71,12.512075,8.978149,0.00069053395,False
WP_017300094.1,Real cyanobacterial GvpA,real,72,12.666907,10.451426,0.00048828125,False
WP_017322549.1,Real cyanobacterial GvpA,real,73,12.952365,8.9149,0.00034526698,False
WP_017721725.1,Real cyanobacterial GvpA,real,72,11.146919,10.075233,0.0,False
WP_017721733.1,Real cyanobacterial GvpA,real,72,10.690359,9.467099,0.00034526698,False
WP_017803923.1,Real cyanobacterial GvpA,real,71,12.733146,7.1881275,0.0,False
WP_017803924.1,Real cyanobacterial GvpA,real,71,12.86753,6.972844,0.0,False
WP_019501601.1,Real cyanobacterial GvpA,real,72,10.479041,10.14303,0.00069053395,False
WP_026789190.1,Real cyanobacterial GvpA,real,72,10.932558,8.399789,0.00069053395,False
WP_036004549.1,Real cyanobacterial GvpA,real,72,11.943918,10.5613365,0.0,False
WP_036534731.1,Real cyanobacterial GvpA,real,72,10.897959,9.112477,0.0,False
WP_038082255.1,Real cyanobacterial GvpA,real,72,12.525771,10.313117,0.0,False
WP_039726782.1,Real cyanobacterial GvpA,real,72,11.609464,10.301555,0.00048828125,False
WP_039752851.1,Real cyanobacterial GvpA,real,72,9.49666,9.302644,0.0010918301,False
WP_042152734.1,Real cyanobacterial GvpA,real,72,10.773332,8.360609,0.0,False
WP_045871251.1,Real cyanobacterial GvpA,real,71,13.363241,7.6570106,0.0,False
WP_054464971.1,Real cyanobacterial GvpA,real,72,11.175203,8.240489,0.08143764,False
WP_054470142.1,Real cyanobacterial GvpA,real,71,13.719101,7.735981,0.00034526698,False
WP_057178839.1,Real cyanobacterial GvpA,real,71,13.282115,7.8737235,0.00048828125,False
WP_063873374.1,Real cyanobacterial GvpA,real,71,13.39845,7.038303,0.0,False
WP_063873375.1,Real cyanobacterial GvpA,real,71,13.724208,7.050406,0.0,False
WP_068510916.1,Real cyanobacterial GvpA,real,72,12.065637,10.71173,0.00048828125,False
WP_069965561.1,Real cyanobacterial GvpA,real,75,11.96169,9.572866,0.0,False
WP_072717742.1,Real cyanobacterial GvpA,real,72,11.34059,8.381258,0.0,False
WP_073608715.1,Real cyanobacterial GvpA,real,72,12.864058,10.310503,0.0,False
WP_073640805.1,Real cyanobacterial GvpA,real,73,11.80911,6.112539,0.00048828125,False
WP_075598971.1,Real cyanobacterial GvpA,real,72,11.745027,9.736188,0.0,False
WP_083620231.1,Real cyanobacterial GvpA,real,72,10.702606,8.91041,0.0,False
WP_084989880.1,Real cyanobacterial GvpA,real,71,13.634387,7.2389383,0.00069053395,False
WP_086756007.1,Real cyanobacterial GvpA,real,73,11.722364,5.97563,0.0,False
WP_088893383.1,Real cyanobacterial GvpA,real,72,11.932041,9.958274,0.0,False
WP_096607388.1,Real cyanobacterial GvpA,real,72,11.716464,6.230617,0.06506794,False
WP_099068598.1,Real cyanobacterial GvpA,real,73,11.828737,5.976251,0.00059802,False
WP_103666325.1,Real cyanobacterial GvpA,real,74,10.520423,8.323294,0.00048828125,False
WP_106257461.1,Real cyanobacterial GvpA,real,72,12.6555805,9.364568,0.0,False
WP_107805940.1,Real cyanobacterial GvpA,real,71,12.8201885,7.060832,0.00048828125,False
WP_138500607.1,Real cyanobacterial GvpA,real,73,11.798605,6.094291,0.0,False
WP_153228363.1,Real cyanobacterial GvpA,real,61,10.961567,6.645914,0.00069053395,False
WP_162425313.1,Real cyanobacterial GvpA,real,72,11.422162,9.463922,0.0008457279,False
WP_163931998.1,Real cyanobacterial GvpA,real,73,11.760284,6.197742,0.0,False
WP_168569945.1,Real cyanobacterial GvpA,real,72,9.688658,9.846564,0.04500274,False
WP_169262979.1,Real cyanobacterial GvpA,real,72,9.49035,9.314541,0.0,False
WP_169617606.1,Real cyanobacterial GvpA,real,72,10.058496,9.99864,0.0,False
WP_171572203.1,Real cyanobacterial GvpA,real,72,11.5897455,8.568007,0.0,False
WP_190377542.1,Real cyanobacterial GvpA,real,72,12.0567465,10.692473,0.00034526698,False
WP_190387978.1,Real cyanobacterial GvpA,real,71,13.20242,7.544547,0.00034526698,False
WP_190432663.1,Real cyanobacterial GvpA,real,72,12.4664545,9.197549,0.00059802,False
WP_190463961.1,Real cyanobacterial GvpA,real,72,13.864526,7.4200225,0.0,False
WP_190464766.1,Real cyanobacterial GvpA,real,72,11.388953,10.37025,0.0,False
WP_190483017.1,Real cyanobacterial GvpA,real,72,9.796929,9.872544,0.00048828125,False
WP_190503885.1,Real cyanobacterial GvpA,real,72,11.420096,10.29382,0.0,False
WP_190553740.1,Real cyanobacterial GvpA,real,72,12.9106045,9.506724,0.00048828125,False
WP_190575773.1,Real cyanobacterial GvpA,real,72,11.645342,10.088016,0.0,False
WP_190627385.1,Real cyanobacterial GvpA,real,72,13.015936,10.197539,0.0,False
WP_190643620.1,Real cyanobacterial GvpA,real,72,11.623529,10.217315,0.0,False
WP_190774558.1,Real cyanobacterial GvpA,real,72,11.260171,10.349547,0.0,False
WP_190775818.1,Real cyanobacterial GvpA,real,72,10.418102,10.237674,0.0,False
WP_190804824.1,Real cyanobacterial GvpA,real,72,12.071395,11.105801,0.065363154,False
WP_190828481.1,Real cyanobacterial GvpA,real,72,10.638908,8.799619,0.0,False
WP_193875962.1,Real cyanobacterial GvpA,real,72,11.120224,10.090423,0.00069053395,False
WP_193897365.1,Real cyanobacterial GvpA,real,71,13.127718,7.126289,0.0008457279,False
WP_193955741.1,Real cyanobacterial GvpA,real,71,13.73788,7.241926,0.0,False
WP_193959329.1,Real cyanobacterial GvpA,real,71,13.91608,7.3089986,0.00048828125,False
WP_193963479.1,Real cyanobacterial GvpA,real,72,12.81303,10.309796,0.0,False
WP_193980327.1,Real cyanobacterial GvpA,real,71,13.865474,7.2559114,0.00034526698,False
WP_194056178.1,Real cyanobacterial GvpA,real,71,11.813351,8.810451,0.00059802,False
WP_200989004.1,Real cyanobacterial GvpA,real,71,12.037808,8.551421,0.00034526698,False
WP_201320714.1,Real cyanobacterial GvpA,real,75,10.194288,8.601119,0.00034526698,False
WP_202218625.1,Real cyanobacterial GvpA,real,90,7.5475416,8.487907,0.15411134,False
WP_204152466.1,Real cyanobacterial GvpA,real,71,11.847197,8.8068,0.0,False
WP_224341338.1,Real cyanobacterial GvpA,real,72,12.552676,9.784039,0.00059802,False
WP_235277851.1,Real cyanobacterial GvpA,real,72,12.077192,11.020692,0.06583201,False
WP_254567340.1,Real cyanobacterial GvpA,real,72,11.442185,8.599743,0.00048828125,False
WP_261225443.1,Real cyanobacterial GvpA,real,75,10.641983,9.06785,0.0,False
WP_265902100.1,Real cyanobacterial GvpA,real,72,12.299283,10.711935,0.0,False
WP_268609013.1,Real cyanobacterial GvpA,real,72,12.362011,10.560141,0.0,False
WP_271933955.1,Real cyanobacterial GvpA,real,71,13.2169695,6.894375,0.00034526698,False
WP_271944488.1,Real cyanobacterial GvpA,real,72,9.803767,9.873244,0.0,False
WP_272058300.1,Real cyanobacterial GvpA,real,71,13.481813,6.9563637,0.0009134906,False
WP_272074942.1,Real cyanobacterial GvpA,real,71,13.701961,6.972104,0.0,False
WP_272092571.1,Real cyanobacterial GvpA,real,71,12.703782,7.2877593,0.00077204045,False
WP_280652748.1,Real cyanobacterial GvpA,real,71,13.832795,7.647976,0.0,False
WP_280793164.1,Real cyanobacterial GvpA,real,71,13.715678,7.0411916,0.0,False
WP_283753117.1,Real cyanobacterial GvpA,real,72,9.802504,9.585447,0.00059802,False
WP_283757384.1,Real cyanobacterial GvpA,real,72,10.749357,8.806562,0.00069053395,False
WP_287130436.1,Real cyanobacterial GvpA,real,72,10.285807,9.128246,0.00048828125,False
WP_287280996.1,Real cyanobacterial GvpA,real,72,12.4535675,10.644646,0.0,False
WP_287627019.1,Real cyanobacterial GvpA,real,71,13.191966,7.6932592,0.00048828125,False
WP_287674806.1,Real cyanobacterial GvpA,real,71,13.4260845,7.783095,0.0,False
WP_292781623.1,Real cyanobacterial GvpA,real,73,11.148191,7.791364,0.0,False
WP_293061633.1,Real cyanobacterial GvpA,real,90,7.621949,8.286013,0.10823776,False
WP_293087767.1,Real cyanobacterial GvpA,real,90,7.7698803,8.23084,0.08270207,False
WP_293100807.1,Real cyanobacterial GvpA,real,89,7.659588,8.339492,0.09743566,False
WP_293124005.1,Real cyanobacterial GvpA,real,72,9.446412,9.490182,0.00034526698,False
WP_293126616.1,Real cyanobacterial GvpA,real,90,7.5976367,8.237661,0.10693025,False
WP_293160100.1,Real cyanobacterial GvpA,real,90,7.5640564,8.078619,0.11389049,False
WP_298916699.1,Real cyanobacterial GvpA,real,75,9.082688,8.017173,0.10739746,False
WP_322681236.1,Real cyanobacterial GvpA,real,72,11.273667,8.818876,0.00069053395,False
WP_322732512.1,Real cyanobacterial GvpA,real,72,11.192816,9.150541,0.0,False
WP_323244924.1,Real cyanobacterial GvpA,real,70,12.373382,7.4186993,0.00048828125,False
WP_324632560.1,Real cyanobacterial GvpA,real,72,9.481987,9.64331,0.049761586,False
WP_324704072.1,Real cyanobacterial GvpA,real,72,10.414684,9.698329,0.0008457279,False
WP_330483830.1,Real cyanobacterial GvpA,real,72,11.316197,9.472175,0.0,False
WP_330936551.1,Real cyanobacterial GvpA,real,59,11.070488,6.5663366,0.0009765625,False
WP_334710560.1,Real cyanobacterial GvpA,real,73,11.263299,7.8757796,0.00048828125,False
WP_334779866.1,Real cyanobacterial GvpA,real,71,13.008682,7.0194044,0.0,False
WP_334789054.1,Real cyanobacterial GvpA,real,74,13.155738,7.916672,0.00069053395,False
WP_335049349.1,Real cyanobacterial GvpA,real,73,11.199909,7.7630734,0.0009134906,False
WP_335059862.1,Real cyanobacterial GvpA,real,71,12.9433975,6.9750633,0.0,False
WP_335072082.1,Real cyanobacterial GvpA,real,78,9.266598,7.934103,0.0968577,False
WP_377962562.1,Real cyanobacterial GvpA,real,72,12.936449,10.265269,0.00059802,False
WP_392535573.1,Real cyanobacterial GvpA,real,71,13.476663,7.344207,0.00048828125,False
WP_408963110.1,Real cyanobacterial GvpA,real,72,8.276631,8.066379,0.0,False
WP_413173344.1,Real cyanobacterial GvpA,real,76,10.753295,7.961014,0.00059802,False
WP_413173345.1,Real cyanobacterial GvpA,real,75,10.603685,8.024576,0.0,False
WP_413173346.1,Real cyanobacterial GvpA,real,73,9.350324,8.181206,0.00059802,False
WP_413173347.1,Real cyanobacterial GvpA,real,74,9.241049,8.124524,0.0,False
WP_413173348.1,Real cyanobacterial GvpA,real,75,10.563321,8.042494,0.0,False
WP_414362100.1,Real cyanobacterial GvpA,real,75,12.327905,11.078512,0.062609576,False
WP_414395174.1,Real cyanobacterial GvpA,real,75,12.372957,10.9560995,0.06339294,False
WP_414404485.1,Real cyanobacterial GvpA,real,75,12.329128,11.082472,0.052689143,False
WP_425311603.1,Real cyanobacterial GvpA,real,80,13.366241,5.955891,0.0,False
WP_425589715.1,Real cyanobacterial GvpA,real,80,13.340876,5.997015,0.0,False
WP_426542028.1,Real cyanobacterial GvpA,real,89,7.8071,8.235851,0.0886523,False
WP_426585015.1,Real cyanobacterial GvpA,real,91,7.8609786,8.325641,0.09134188,False
WP_430686742.1,Real cyanobacterial GvpA,real,72,11.288126,10.147434,0.0,False
WP_431662249.1,Real cyanobacterial GvpA,real,72,12.768823,9.801174,0.0,False
WP_439345357.1,Real cyanobacterial GvpA,real,72,10.8699875,10.334516,0.0,False
WP_441007279.1,Real cyanobacterial GvpA,real,80,13.383342,5.9410625,0.0,False
WP_446859740.1,Real cyanobacterial GvpA,real,72,11.510319,8.497995,0.00069053395,False
WP_458646425.1,Real cyanobacterial GvpA,real,91,10.516603,7.8844028,0.0,False
WP_461927368.1,Real cyanobacterial GvpA,real,74,13.265918,8.125051,0.0,False
WP_461930966.1,Real cyanobacterial GvpA,real,71,12.948336,7.1695523,0.00048828125,False
WP_472408654.1,Real cyanobacterial GvpA,real,80,13.318666,6.0291114,0.0,False
WP_479716902.1,Real cyanobacterial GvpA,real,72,12.627431,10.242983,0.00069053395,False
WP_488204244.1,Real cyanobacterial GvpA,real,72,11.241981,10.42139,0.0,False
WP_488739600.1,Real cyanobacterial GvpA,real,72,10.164873,9.246033,0.00069053395,False
WP_496081776.1,Real cyanobacterial GvpA,real,72,12.491472,9.771232,0.0009765625,False
WP_502249006.1,Real cyanobacterial GvpA,real,72,10.473335,9.297393,0.04616647,False
WP_502881973.1,Real cyanobacterial GvpA,real,80,13.29206,6.066604,0.0,False
WP_505716830.1,Real cyanobacterial GvpA,real,72,12.649086,10.127394,0.00048828125,False
WP_506081038.1,Real cyanobacterial GvpA,real,72,12.4199705,10.363042,0.0,False
local_cpu_aa_frequency_seed42_0000,AA-frequency baseline,baseline,72,9.393073,7.408979,0.27224866,True
local_cpu_aa_frequency_seed42_0001,AA-frequency baseline,baseline,75,7.901238,7.9237695,0.20432892,True
local_cpu_aa_frequency_seed42_0002,AA-frequency baseline,baseline,71,3.4311867,9.651341,0.42235044,True
local_cpu_aa_frequency_seed42_0003,AA-frequency baseline,baseline,73,8.798596,7.8987823,0.17883064,True
local_cpu_aa_frequency_seed42_0004,AA-frequency baseline,baseline,72,3.2065837,8.683759,0.50690085,True
local_cpu_aa_frequency_seed42_0005,AA-frequency baseline,baseline,73,9.932974,8.980825,0.20045328,True
local_cpu_aa_frequency_seed42_0006,AA-frequency baseline,baseline,71,6.9682817,9.159182,0.21461114,True
local_cpu_aa_frequency_seed42_0007,AA-frequency baseline,baseline,59,4.1829247,8.49471,0.4013865,True
local_cpu_aa_frequency_seed42_0008,AA-frequency baseline,baseline,72,7.7227287,8.570478,0.23569877,True
local_cpu_aa_frequency_seed42_0009,AA-frequency baseline,baseline,80,10.234774,7.2944884,0.23159,True
local_cpu_aa_frequency_seed42_0010,AA-frequency baseline,baseline,71,8.9695425,7.10049,0.31924278,True
local_cpu_aa_frequency_seed42_0011,AA-frequency baseline,baseline,72,8.82784,7.164362,0.29683787,True
local_cpu_aa_frequency_seed42_0012,AA-frequency baseline,baseline,72,8.10456,7.506747,0.31648403,True
local_cpu_aa_frequency_seed42_0013,AA-frequency baseline,baseline,71,4.5689416,8.224887,0.39261562,True
local_cpu_aa_frequency_seed42_0014,AA-frequency baseline,baseline,72,7.7134905,7.776611,0.27079874,True
local_cpu_aa_frequency_seed42_0015,AA-frequency baseline,baseline,72,4.0948105,8.796515,0.35443974,True
local_cpu_aa_frequency_seed42_0016,AA-frequency baseline,baseline,73,11.361811,7.3476286,0.20959811,True
local_cpu_aa_frequency_seed42_0017,AA-frequency baseline,baseline,72,7.950031,7.4861493,0.28741646,True
local_cpu_aa_frequency_seed42_0018,AA-frequency baseline,baseline,71,3.1268475,8.982143,0.58363605,True
local_cpu_aa_frequency_seed42_0019,AA-frequency baseline,baseline,72,10.512393,7.462255,0.21253532,True
local_cpu_aa_frequency_seed42_0020,AA-frequency baseline,baseline,80,8.726045,7.4297786,0.24313538,True
local_cpu_aa_frequency_seed42_0021,AA-frequency baseline,baseline,72,8.620531,7.2097497,0.24978963,True
local_cpu_aa_frequency_seed42_0022,AA-frequency baseline,baseline,72,8.2745495,7.479072,0.26301458,True
local_cpu_aa_frequency_seed42_0023,AA-frequency baseline,baseline,72,9.039739,7.0246115,0.28302354,True
local_cpu_aa_frequency_seed42_0024,AA-frequency baseline,baseline,72,4.351093,8.2571,0.3826636,True
local_cpu_aa_frequency_seed42_0025,AA-frequency baseline,baseline,71,7.4142413,7.8970556,0.25587848,True
