sequence_id,length,legal_chars,length_in_reference_range,valid_sequence,exact_copy_reference,nearest_reference_id,nearest_reference_identity,nearest_reference_full_length_identity,nearest_reference_query_coverage,nearest_reference_target_coverage,coverage_pass,near_duplicate,sequence_novel,sequence_novelty,nearest_kmer_reference_id,nearest_kmer_jaccard,kmer_novelty,profile_status,profile_hit,profile_evalue,profile_bit_score,structure_status,nearest_structure_id,aligned_ca_count,structure_query_coverage,structure_target_coverage,ca_rmsd,tm_score_query_norm,tm_score_target_norm,tm_score_symmetric,gdt_ts,structure_conserved,structure_novelty,generated_mean_ca_confidence,generated_min_ca_confidence,candidate_class
vae_scale1_temp0.8_seed42_0000,62,True,True,True,False,WP_153228363.1,0.4,0.3548387096774194,0.8870967741935484,0.9016393442622951,True,False,True,0.6451612903225806,WP_190828481.1,0.05084745762711865,0.9491525423728814,hmmsearch_unavailable,,,,not_run,,,,,,,,,,,,,,sequence_novel
vae_scale1_temp0.8_seed42_0001,39,True,False,False,False,WP_193875962.1,0.5384615384615384,0.2916666666666667,1.0,0.5416666666666666,False,False,False,,WP_334710560.1,0.09473684210526316,,hmmsearch_unavailable,,,,not_run,,,,,,,,,,,,,,invalid_sequence
vae_scale1_temp0.8_seed42_0002,99,True,False,False,False,WP_190483017.1,0.5142857142857142,0.36363636363636365,0.7070707070707071,0.9722222222222222,False,False,False,,WP_017721725.1,0.1484375,,hmmsearch_unavailable,,,,not_run,,,,,,,,,,,,,,invalid_sequence
vae_scale1_temp0.8_seed42_0003,2,True,False,False,False,WP_330936551.1,1.0,0.03389830508474576,1.0,0.03389830508474576,False,False,False,,ABG51546.1,0.0,,hmmsearch_unavailable,,,,not_run,,,,,,,,,,,,,,invalid_sequence
vae_scale1_temp0.8_seed42_0004,2,True,False,False,False,WP_153228363.1,1.0,0.03278688524590164,1.0,0.03278688524590164,False,False,False,,ABG51546.1,0.0,,hmmsearch_unavailable,,,,not_run,,,,,,,,,,,,,,invalid_sequence
vae_scale1_temp0.8_seed42_0005,81,True,True,True,False,WP_201320714.1,0.4090909090909091,0.3333333333333333,0.8148148148148148,0.88,True,False,True,0.6666666666666667,WP_017322549.1,0.08270676691729323,0.9172932330827068,hmmsearch_unavailable,,,,not_run,,,,,,,,,,,,,,sequence_novel
vae_scale1_temp0.8_seed42_0006,35,True,False,False,False,WP_330936551.1,0.6285714285714286,0.3728813559322034,1.0,0.5932203389830508,False,False,False,,WP_169262979.1,0.08695652173913043,,hmmsearch_unavailable,,,,not_run,,,,,,,,,,,,,,invalid_sequence
vae_scale1_temp0.8_seed42_0007,0,False,False,False,False,ABG51546.1,0.0,0.0,0.0,0.0,False,False,False,,ABG51546.1,0.0,,hmmsearch_unavailable,,,,not_run,,,,,,,,,,,,,,invalid_sequence
vae_scale1_temp0.8_seed42_0008,36,True,False,False,False,WP_017721725.1,0.5714285714285714,0.2777777777777778,0.9722222222222222,0.4861111111111111,False,False,False,,WP_323244924.1,0.03125,,hmmsearch_unavailable,,,,not_run,,,,,,,,,,,,,,invalid_sequence
vae_scale1_temp0.8_seed42_0009,99,True,False,False,False,WP_293100807.1,0.5,0.3838383838383838,0.7676767676767676,0.8539325842696629,False,False,False,,WP_168569945.1,0.1386861313868613,,hmmsearch_unavailable,,,,not_run,,,,,,,,,,,,,,invalid_sequence
