accession,gene_name,protein_name,organism,sequence_length
WP_442454669,gvpQ,Unknown,Priestia,157
WP_142129712,gvpQ,Unknown,Rossellomorea marisflavi,151
WP_064471874,gvpQ,Unknown,Priestia,157
WP_454638627,gvpQ,Unknown,Staphylococcus equorum,162
WP_454101018,gvpQ,Unknown,Metabacillus sp. SLBN-84,162
WP_449153485,gvpQ,Unknown,Staphylococcus simulans,162
WP_449053479,gvpQ,Unknown,Priestia aryabhattai,109
WP_446933800,gvpQ,Unknown,Priestia megaterium,157
WP_446687801,gvpQ,Unknown,Priestia megaterium,157
WP_446244761,gvpQ,Unknown,Rossellomorea sp. NS-SX7,163
WP_445508941,gvpQ,Unknown,Rossellomorea marisflavi,151
WP_394584190,gvpQ,Unknown,Halobacillus sp. B23F22_1,198
WP_394462032,gvpQ,Unknown,Thalassobacillus sp. B23F22_16,201
WP_161463861,gvpQ,Unknown,Oceanobacillus sp. M65,161
WP_443143374,gvpQ,Unknown,Pseudalkalibacillus sp. R45,156
WP_443134273,gvpQ,Unknown,Halobacillus sp. K22,247
WP_443127554,gvpQ,Unknown,Gracilibacillus sp. D59,190
WP_443122928,gvpQ,Unknown,Halobacillus sp. B29,247
WP_443119793,gvpQ,Unknown,Halobacillus sp. H74,184
WP_440552027,gvpQ,Unknown,Staphylococcus simulans,144
WP_439300214,gvpQ,Unknown,Pseudalkalibacillus sp. Hm43,148
WP_436360968,gvpQ,Unknown,Priestia megaterium,157
WP_436964911,gvpQ,Unknown,Staphylococcus xylosus,168
WP_435988886,gvpQ,Unknown,Rossellomorea sp. LjRoot5,157
WP_435763341,gvpQ,Unknown,Oceanobacillus sp. CF4.6,187
WP_433742433,gvpQ,Unknown,Falsibacillus pallidus,163
WP_433807115,gvpQ,Unknown,Halobacillus mangrovi,168
WP_432723772,gvpQ,Unknown,Staphylococcus equorum,164
WP_431802134,gvpQ,Unknown,Halobacillus andaensis,177
WP_430790278,gvpQ,Unknown,Virgibacillus flavescens,184
WP_430495296,gvpQ,Unknown,Rossellomorea marisflavi,151
WP_430337566,gvpQ,Unknown,Rossellomorea vietnamensis,157
WP_430127180,gvpQ,Unknown,Priestia aryabhattai,157
WP_430048492,gvpQ,Unknown,Priestia aryabhattai,157
WP_430006376,gvpQ,Unknown,Metabacillus idriensis,156
WP_429877881,gvpQ,Unknown,Fictibacillus sp. NRS-1165,185
WP_429668000,gvpQ,Unknown,Bacillus gobiensis,181
WP_429666693,gvpQ,Unknown,Bacillus gobiensis,171
WP_429663442,gvpQ,Unknown,Bacillus gobiensis,181
WP_427075912,gvpQ,Unknown,Priestia megaterium,157
WP_426911552,gvpQ,Unknown,Sutcliffiella horikoshii,149
WP_426892819,gvpQ,Unknown,Rossellomorea aquimaris,157
WP_397553629,gvpQ,Unknown,Rossellomorea,157
WP_426842539,gvpQ,Unknown,unclassified Metabacillus,192
WP_427599934,gvpQ,Unknown,Rossellomorea sp. NPDC071047,157
WP_394172530,gvpQ,Unknown,Guptibacillus hwajinpoensis,147
WP_305912467,gvpQ,Unknown,Guptibacillus hwajinpoensis,147
WP_301550212,gvpQ,Unknown,Guptibacillus hwajinpoensis,147
WP_224590718,gvpQ,Unknown,Bacillales,152
WP_048311415,gvpQ,Unknown,Guptibacillus hwajinpoensis,147
WP_422165805,gvpQ,Unknown,Halobacillus sp.,208
WP_328120935,gvpQ,Unknown,Priestia,157
WP_421178289,gvpQ,Unknown,Metabacillus dongyingensis,155
WP_419244993,gvpQ,Unknown,Rossellomorea marisflavi,151
WP_416434379,gvpQ,Unknown,Priestia megaterium,157
WP_416420639,gvpQ,Unknown,Priestia aryabhattai,157
WP_048004756,gvpQ,Unknown,Rossellomorea,151
WP_416225582,gvpQ,Unknown,Priestia sp. RMT2NF4,157
WP_413917175,gvpQ,Unknown,Priestia megaterium,160
WP_412035997,gvpQ,Unknown,Priestia megaterium,157
WP_413242309,gvpQ,Unknown,Paenibacillus sp. 1P07SE,175
WP_320518595,gvpQ,Unknown,Priestia,157
WP_144632617,gvpQ,Unknown,Priestia,157
WP_411334366,gvpQ,Unknown,Metabacillus indicus,162
WP_411159687,gvpQ,Unknown,Rossellomorea oryzaecorticis,163
WP_410904952,gvpQ,Unknown,Priestia sp. SIMBA_032,161
WP_409303447,gvpQ,Unknown,Peribacillus sedimenti,154
WP_409293711,gvpQ,Unknown,Paraperibacillus marinus,145
WP_409293095,gvpQ,Unknown,Paraperibacillus esterisolvens,145
WP_409274762,gvpQ,Unknown,Neobacillus oceani,148
WP_408008767,gvpQ,Unknown,Pseudalkalibacillus sp. A8,155
WP_029322992,gvpQ,Unknown,Priestia megaterium,153
WP_406686009,gvpQ,Unknown,Rossellomorea vietnamensis,157
WP_335388023,gvpQ,Unknown,Priestia,157
WP_406944745,gvpQ,Unknown,Halobacillus sp. SY10,177
WP_404459137,gvpQ,Unknown,Sutcliffiella horikoshii,148
WP_404444699,gvpQ,Unknown,Sutcliffiella horikoshii,149
WP_404429031,gvpQ,Unknown,Sutcliffiella horikoshii,148
WP_404347317,gvpQ,Unknown,Sutcliffiella horikoshii,148
WP_404455751,gvpQ,Unknown,Virgibacillus necropolis,179
WP_404455627,gvpQ,Unknown,Oceanobacillus kapialis,160
WP_404405699,gvpQ,Unknown,Jeotgalibacillus malaysiensis,131
WP_224944262,gvpQ,Unknown,Rossellomorea,153
WP_390354418,gvpQ,Unknown,Tigheibacillus halophilus,154
WP_394140840,gvpQ,Unknown,Cytobacillus oceanisediminis,156
WP_394218394,gvpQ,Unknown,Halobacillus trueperi,177
WP_379551240,gvpQ,Unknown,Oceanobacillus picturae,161
WP_378939332,gvpQ,Unknown,Metabacillus herbersteinensis,153
WP_390306322,gvpQ,Unknown,Virgibacillus sediminis,192
WP_390271560,gvpQ,Unknown,Virgibacillus xinjiangensis,192
WP_379560664,gvpQ,Unknown,Oceanobacillus kapialis,160
WP_379496046,gvpQ,Unknown,Oceanobacillus longus,188
WP_377255988,gvpQ,Unknown,unclassified Priestia,151
WP_299745360,gvpQ,Unknown,unclassified Rossellomorea,157
WP_057273576,gvpQ,Unknown,Priestia,157
WP_377574247,gvpQ,Unknown,Priestia sp. YIM B13486,157
WP_374988184,gvpQ,Unknown,Priestia megaterium,157
WP_375218408,gvpQ,Unknown,Psychrobacillus sp. PGGUH221,149
WP_374055300,gvpQ,Unknown,Rossellomorea sp. FM04394,151
WP_369735250,gvpQ,Unknown,Metabacillus sp. JX24,162
WP_368502964,gvpQ,Unknown,Alkalihalophilus sp. As8PL,149
WP_367077028,gvpQ,Unknown,Priestia megaterium,157
WP_367071833,gvpQ,Unknown,Priestia megaterium,146
WP_367051801,gvpQ,Unknown,Rossellomorea marisflavi,145
WP_367036688,gvpQ,Unknown,Rossellomorea marisflavi,151
WP_354573180,gvpQ,Unknown,Halalkalibacter oceani,142
WP_353746480,gvpQ,Unknown,Priestia megaterium,717
WP_116738731,gvpQ,Unknown,Priestia,157
WP_349407375,gvpQ,Unknown,Pseudalkalibacillus nanhaiensis,148
WP_348027692,gvpQ,Unknown,Aciduricibacillus chroicocephali,148
WP_347548462,gvpQ,Unknown,Guptibacillus hwajinpoensis,153
WP_218246718,gvpQ,Unknown,Rossellomorea sp. RS05,151
WP_339147363,gvpQ,Unknown,unclassified Sutcliffiella,149
WP_341982150,gvpQ,Unknown,Rossellomorea oryzaecorticis,163
WP_251284962,gvpQ,Unknown,unclassified Cytobacillus,157
WP_071272784,gvpQ,Unknown,Priestia,157
WP_049165587,gvpQ,Unknown,Priestia,157
WP_025751002,gvpQ,Unknown,Priestia,157
WP_095313308,gvpQ,Unknown,Oceanobacillus,189
WP_339227027,gvpQ,Unknown,Oceanobacillus sp. FSL K6-2867,188
WP_051860831,gvpQ,Unknown,Bacillaceae,192
WP_338788752,gvpQ,Unknown,Metabacillus rhizosphaerae,142
WP_338471525,gvpQ,Unknown,Niallia sp. XMNu-256,155
WP_336497392,gvpQ,Unknown,Psychrobacillus mangrovi,149
WP_336437800,gvpQ,Unknown,Priestia megaterium,161
WP_336882889,gvpQ,Unknown,Priestia koreensis,143
WP_336113686,gvpQ,Unknown,Priestia megaterium,157
WP_335961850,gvpQ,Unknown,Halalkalibacter kiskunsagensis,154
WP_335567331,gvpQ,Unknown,Neobacillus vireti,146
WP_335560862,gvpQ,Unknown,Neobacillus vireti,146
WP_335525190,gvpQ,Unknown,Priestia megaterium,157
WP_335513861,gvpQ,Unknown,Neobacillus vireti,146
WP_335440470,gvpQ,Unknown,Priestia megaterium,123
WP_336200764,gvpQ,Unknown,Rossellomorea sp. LJF3,157
WP_098622211,gvpQ,Unknown,Priestia,161
WP_334036757,gvpQ,Unknown,Priestia megaterium,157
WP_334217038,gvpQ,Unknown,Mangrovibacillus sp. Mu-81,163
WP_332698342,gvpQ,Unknown,Halalkalibacter lacteus,149
WP_328257959,gvpQ,Unknown,Priestia megaterium,161
WP_328245395,gvpQ,Unknown,Priestia megaterium,157
WP_328241001,gvpQ,Unknown,Priestia megaterium,157
WP_328237398,gvpQ,Unknown,Priestia megaterium,157
WP_328234885,gvpQ,Unknown,Priestia megaterium,161
WP_328132924,gvpQ,Unknown,Priestia aryabhattai,157
WP_328106335,gvpQ,Unknown,Priestia megaterium,157
WP_231689210,gvpQ,Unknown,unclassified Fictibacillus,191
WP_205664225,gvpQ,Unknown,Priestia,157
WP_012960865,gvpQ,Unknown,Alkalihalophilus,148
WP_327608075,gvpQ,Unknown,Virgibacillus tibetensis,186
WP_326240883,gvpQ,Unknown,Alkalihalophilus marmarensis,148
WP_326137804,gvpQ,Unknown,Priestia megaterium,153
WP_325050709,gvpQ,Unknown,Staphylococcus simulans,106
WP_322420074,gvpQ,Unknown,Jeotgalibacillus haloalkalitolerans,129
WP_223439391,gvpQ,Unknown,Metabacillus,155
WP_197669779,gvpQ,Unknown,[Bacillus] enclensis,163
WP_182420984,gvpQ,Unknown,Priestia,159
WP_099000390,gvpQ,Unknown,Priestia,157
WP_098196729,gvpQ,Unknown,Priestia,157
WP_074679878,gvpQ,Unknown,Priestia,161
WP_070879558,gvpQ,Unknown,Metabacillus idriensis,155
WP_034764906,gvpQ,Unknown,Rossellomorea vietnamensis,157
WP_033580316,gvpQ,Unknown,Priestia,157
WP_028414535,gvpQ,Unknown,Priestia,157
WP_028409330,gvpQ,Unknown,Priestia,157
WP_013057998,gvpQ,Unknown,Priestia,157
WP_320324183,gvpQ,Unknown,Rossellomorea sp. YZS02,157
WP_318548789,gvpQ,Unknown,Rossellomorea marisflavi,151
WP_318331169,gvpQ,Unknown,Priestia megaterium,157
WP_317947951,gvpQ,Unknown,Rossellomorea marisflavi,151
WP_317121872,gvpQ,Unknown,Alkalihalophilus lindianensis,149
WP_208733214,gvpQ,Unknown,Priestia,159
WP_316572694,gvpQ,Unknown,Neobacillus sp. YIM B06451,148
WP_315635244,gvpQ,Unknown,Rossellomorea yichunensis,157
WP_311264724,gvpQ,Unknown,Priestia aryabhattai,157
WP_310877901,gvpQ,Unknown,Priestia megaterium,157
WP_309515732,gvpQ,Unknown,Rossellomorea marisflavi,151
WP_309193705,gvpQ,Unknown,Metabacillus idriensis,155
WP_140456950,gvpQ,Unknown,Priestia,157
WP_075421050,gvpQ,Unknown,Priestia,157
WP_307598234,gvpQ,Unknown,Priestia megaterium,157
WP_306385708,gvpQ,Unknown,Priestia megaterium,157
WP_307439252,gvpQ,Unknown,Bacillus sp. V2I10,155
WP_307394732,gvpQ,Unknown,Caldalkalibacillus horti,176
WP_303526577,gvpQ,Unknown,Priestia megaterium,157
WP_304438389,gvpQ,Unknown,Fictibacillus sp. FJAT-27399,147
WP_290031803,gvpQ,Unknown,Rossellomorea marisflavi,151
WP_290399116,gvpQ,Unknown,Fictibacillus terranigra,183
WP_221781308,gvpQ,Unknown,Priestia,159
WP_289524482,gvpQ,Unknown,Priestia megaterium,157
WP_289215674,gvpQ,Unknown,Halobacillus campisalis,198
WP_102414374,gvpQ,Unknown,Lentibacillus populi,187
WP_274155366,gvpQ,Unknown,Priestia megaterium,157
WP_283077692,gvpQ,Unknown,Halobacillus naozhouensis,152
WP_282034403,gvpQ,Unknown,Metabacillus indicus,162
WP_281974779,gvpQ,Unknown,Halobacillus litoralis,184
WP_281658545,gvpQ,Unknown,Halobacillus sp. Cin3,155
WP_277678396,gvpQ,Unknown,Gracilibacillus dipsosauri,146
WP_275790353,gvpQ,Unknown,Bacillus sp. Cr_A10,149
WP_275036027,gvpQ,Unknown,Priestia aryabhattai,157
WP_274862599,gvpQ,Unknown,Priestia aryabhattai,157
WP_274589148,gvpQ,Unknown,Priestia megaterium,157
WP_273831846,gvpQ,Unknown,Guptibacillus sedimenti,152
WP_272767147,gvpQ,Unknown,Priestia megaterium,157
WP_271993250,gvpQ,Unknown,Priestia sp. AB,157
WP_270180318,gvpQ,Unknown,Alkalihalobacillus sp. CinArs1,150
WP_268575630,gvpQ,Unknown,Priestia megaterium,157
WP_265409663,gvpQ,Unknown,Fictibacillus sp. KU28468,133
WP_264408009,gvpQ,Unknown,Priestia megaterium,157
WP_264135237,gvpQ,Unknown,Priestia megaterium,157
WP_262587091,gvpQ,Unknown,Staphylococcus sp. IVB6181,162
WP_262577926,gvpQ,Unknown,Staphylococcus simulans,162
WP_262557263,gvpQ,Unknown,Staphylococcus simulans,162
WP_261749224,gvpQ,Unknown,Rossellomorea vietnamensis,157
WP_261131329,gvpQ,Unknown,Bacillus sp. Marseille-Q3570,156
WP_259489360,gvpQ,Unknown,Staphylococcus hyicus,162
