accession,gene_name,protein_name,organism,sequence_length
WP_457484345,gvpO,Unknown,Streptomyces sp. SS10,148
WP_457481894,gvpO,Unknown,Streptomyces sp. WG-D5,66
WP_195065113,gvpO,Unknown,Nocardia,97
WP_457229607,gvpO,Unknown,Nocardia gipuzkoensis,97
WP_457219094,gvpO,Unknown,Nocardia gipuzkoensis,109
WP_457214557,gvpO,Unknown,Nocardia gipuzkoensis,97
WP_457212174,gvpO,Unknown,Nocardia gipuzkoensis,96
WP_457199930,gvpO,Unknown,Nocardia gipuzkoensis,97
WP_457186279,gvpO,Unknown,Nocardia sp. R16R-3T,111
WP_457172916,gvpO,Unknown,Nocardia gipuzkoensis,96
WP_210461500,gvpO,Unknown,Rhodococcus opacus,114
WP_394428524,gvpO,Unknown,Streptomyces sp. SGAir0957,138
WP_456230632,gvpO,Unknown,Streptomyces sp. NPDC002248,180
WP_455449568,gvpO,Unknown,Natrinema thermotolerans,177
WP_455414845,gvpO,Unknown,Plantactinospora sp. DSM 117369,172
WP_455353289,gvpO,Unknown,unclassified Streptomyces,102
WP_454638629,gvpO,Unknown,Staphylococcus equorum,88
WP_454296928,gvpO,Unknown,Rhodococcus ruber,113
WP_454195644,gvpO,Unknown,Nocardia sp. Marseille-Q1738,111
WP_454109706,gvpO,Unknown,Leifsonia shinshuensis,274
WP_453880475,gvpO,Unknown,Streptomyces violaceusniger,158
WP_453878870,gvpO,Unknown,Streptomyces violaceusniger,103
WP_453843345,gvpO,Unknown,Streptomyces ziwulingensis,85
WP_453763100,gvpO,Unknown,Streptomyces sp. NPDC055058,106
WP_453733443,gvpO,Unknown,Streptomyces sp. NPDC055189,106
WP_453699776,gvpO,Unknown,Streptomyces sp. NPDC054866,109
WP_453684824,gvpO,Unknown,unclassified Streptomyces,108
WP_453473155,gvpO,Unknown,Streptomyces sp. NPDC054826,106
WP_453444888,gvpO,Unknown,unclassified Streptomyces,108
WP_453398332,gvpO,Unknown,Streptomyces sp. NPDC054871,109
WP_453357537,gvpO,Unknown,unclassified Streptomyces,103
WP_453298365,gvpO,Unknown,Streptomyces sp. NPDC054770,58
WP_453255478,gvpO,Unknown,Streptomyces sp. NPDC004682,102
WP_453079355,gvpO,Unknown,unclassified Streptomyces,103
WP_452896331,gvpO,Unknown,Streptomyces luteogriseus,107
WP_452882653,gvpO,Unknown,Streptomyces asiaticus,100
WP_452858193,gvpO,Unknown,Streptomyces massasporeus,107
WP_452676354,gvpO,Unknown,Streptomyces albogriseolus,147
WP_452590773,gvpO,Unknown,Rhodococcus koreensis,114
WP_452582939,gvpO,Unknown,Rhodococcus koreensis,120
WP_452581880,gvpO,Unknown,Rhodococcus koreensis,113
WP_452556880,gvpO,Unknown,Nocardia sp. NPDC003963,111
WP_452528980,gvpO,Unknown,Nonomuraea muscovyensis,155
WP_452501629,gvpO,Unknown,Nonomuraea angiospora,123
WP_452495258,gvpO,Unknown,Nocardia sp. NPDC003999,109
WP_452475810,gvpO,Unknown,Nocardia rhamnosiphila,109
WP_452421500,gvpO,Unknown,Nocardia sp. NPDC004260,106
WP_452413008,gvpO,Unknown,unclassified Nonomuraea,113
WP_450679243,gvpO,Unknown,unclassified Streptomyces,60
WP_450021639,gvpO,Unknown,unclassified Nocardia,106
WP_449891158,gvpO,Unknown,Nocardia niigatensis,111
WP_449869620,gvpO,Unknown,Nocardia rhamnosiphila,108
WP_385751139,gvpO,Unknown,unclassified Streptomyces,103
WP_366714017,gvpO,Unknown,unclassified Streptomyces,107
WP_363975041,gvpO,Unknown,unclassified Nonomuraea,123
WP_363962376,gvpO,Unknown,unclassified Nonomuraea,105
WP_350952800,gvpO,Unknown,unclassified Streptosporangium,151
WP_452376778,gvpO,Unknown,Nocardia takedensis,107
WP_452363677,gvpO,Unknown,Nocardia sp. NPDC004085,107
WP_452357783,gvpO,Unknown,Nocardia sp. NPDC004573,110
WP_452289332,gvpO,Unknown,Microbispora sp. NPDC004025,144
WP_452272865,gvpO,Unknown,Micromonospora taraxaci,110
WP_452188239,gvpO,Unknown,Isoptericola sp. NPDC055881,213
WP_452167088,gvpO,Unknown,Kitasatospora cineracea,180
WP_452162939,gvpO,Unknown,Kitasatospora sp. NPDC004272,223
WP_452161156,gvpO,Unknown,Kitasatospora cineracea,182
WP_452151145,gvpO,Unknown,Kitasatospora sp. NPDC004240,72
WP_452141499,gvpO,Unknown,Kribbella sp. NPDC004138,151
WP_452015570,gvpO,Unknown,Amycolatopsis sp. NPDC004368,110
WP_451969098,gvpO,Unknown,Amycolatopsis sp. NPDC004378,105
WP_451962647,gvpO,Unknown,Streptosporangium sandarakinum,148
WP_451958269,gvpO,Unknown,Streptosporangium sp. NPDC002607,155
WP_451927485,gvpO,Unknown,Streptosporangium sp. NPDC003464,142
WP_451785188,gvpO,Unknown,unclassified Streptomyces,102
WP_451641276,gvpO,Unknown,Streptomyces sp. NPDC003442,100
WP_451451209,gvpO,Unknown,Streptomyces sp. NPDC002402,132
WP_451383334,gvpO,Unknown,Streptomyces sp. NPDC002346,105
WP_451235345,gvpO,Unknown,Streptomyces sp. NPDC002814,95
WP_451218429,gvpO,Unknown,Streptomyces sp. NPDC002853,108
WP_451140716,gvpO,Unknown,Streptomyces sp. NPDC001770,106
WP_451119347,gvpO,Unknown,Streptomyces sp. NPDC002206,77
WP_451088008,gvpO,Unknown,Streptomyces sp. NPDC002851,49
WP_451068091,gvpO,Unknown,Streptomyces sp. NPDC001889,106
WP_450875191,gvpO,Unknown,Streptomyces sp. NPDC001700,116
WP_450874909,gvpO,Unknown,Streptomyces sp. NPDC001700,146
WP_450834250,gvpO,Unknown,Streptomyces sp. NPDC001667,106
WP_450830860,gvpO,Unknown,Streptomyces sp. NPDC001492,121
WP_450569875,gvpO,Unknown,Streptomyces sp. NPDC001275,36
WP_450484163,gvpO,Unknown,Streptomyces sp. NPDC000941,103
WP_450465210,gvpO,Unknown,Streptomyces sp. NPDC001020,102
WP_450458612,gvpO,Unknown,Streptomyces nondiastaticus,142
WP_450408055,gvpO,Unknown,Streptomyces sp. NPDC000878,87
WP_450299519,gvpO,Unknown,Streptomyces klenkii,127
WP_450146987,gvpO,Unknown,Rhodococcus koreensis,114
WP_450140651,gvpO,Unknown,Saccharopolyspora sp. NPDC000995,149
WP_450132255,gvpO,Unknown,Saccharopolyspora sp. NPDC002376,120
WP_450120915,gvpO,Unknown,Rhodococcus indonesiensis,113
WP_450093806,gvpO,Unknown,Promicromonospora sukumoe,91
WP_450089938,gvpO,Unknown,Rhodococcus aetherivorans,113
WP_397371182,gvpO,Unknown,unclassified Nonomuraea,105
WP_450058874,gvpO,Unknown,Nocardia xishanensis,110
WP_450050241,gvpO,Unknown,Nocardia beijingensis,107
WP_450007522,gvpO,Unknown,Nocardia xishanensis,110
WP_449994485,gvpO,Unknown,Nocardia sp. NPDC003345,87
WP_449965803,gvpO,Unknown,Nonomuraea sp. NPDC003201,123
WP_449957166,gvpO,Unknown,Nonomuraea sp. NPDC003201,105
WP_449915513,gvpO,Unknown,Nonomuraea sp. NPDC003727,113
WP_449906524,gvpO,Unknown,Nonomuraea sp. NPDC003707,123
WP_449894038,gvpO,Unknown,Nocardia sp. NPDC001965,111
WP_449835362,gvpO,Unknown,Lentzea sp. NPDC004789,88
WP_449801078,gvpO,Unknown,Kitasatospora sp. NPDC001660,145
WP_159405668,gvpO,Unknown,Gordonia,97
WP_449153688,gvpO,Unknown,Staphylococcus simulans,89
WP_449153487,gvpO,Unknown,Staphylococcus simulans,89
WP_382557756,gvpO,Unknown,unclassified Streptomyces,108
WP_409062172,gvpO,Unknown,Streptomyces,46
WP_447189536,gvpO,Unknown,Streptosporangium sp. G12,143
WP_446804886,gvpO,Unknown,[Actinomadura] parvosata,98
WP_446462975,gvpO,Unknown,Streptomyces sp. BRA346,131
WP_446462824,gvpO,Unknown,Streptomyces sp. BRA346,107
WP_446286886,gvpO,Unknown,Salipiger marinus,109
WP_446244759,gvpO,Unknown,Rossellomorea sp. NS-SX7,88
WP_100805429,gvpO,Unknown,Streptomyces malaysiensis,126
WP_378275350,gvpO,Unknown,Actinomadura kijaniata,86
WP_182845534,gvpO,Unknown,Actinomadura kijaniata,85
WP_445133717,gvpO,Unknown,Streptomyces sp. DW26H14,101
WP_445128384,gvpO,Unknown,Streptomyces anulatus,107
WP_445092798,gvpO,Unknown,Nocardia sp. R6R-6,110
WP_445518720,gvpO,Unknown,Streptomyces sp. NEAU-174,100
WP_445419365,gvpO,Unknown,Streptomyces sp. ECR3.8,148
WP_445070339,gvpO,Unknown,Streptomyces violaceoruber,130
WP_095313311,gvpO,Unknown,Oceanobacillus,91
WP_445253903,gvpO,Unknown,Oceanobacillus sp. FSL K6-2867,98
WP_445181621,gvpO,Unknown,Pseudonocardia sp. Cha107L01,156
WP_394584194,gvpO,Unknown,Halobacillus sp. B23F22_1,88
WP_394462074,gvpO,Unknown,Thalassobacillus sp. B23F22_16,94
WP_138244858,gvpO,Unknown,Natrinema,179
WP_444461520,gvpO,Unknown,Rhodobacter capsulatus,125
WP_161463862,gvpO,Unknown,Oceanobacillus sp. M65,85
WP_093470471,gvpO,Unknown,Streptomyces,103
WP_443332382,gvpO,Unknown,Streptomyces sp. 8N706,100
WP_443322668,gvpO,Unknown,Streptomyces sp. 7N604,158
WP_443321716,gvpO,Unknown,Streptomyces sp. 7N604,100
WP_443317413,gvpO,Unknown,Streptomyces sp. 8N616,100
WP_443315074,gvpO,Unknown,Streptomyces sp. 8N616,158
