accession,gene_name,protein_name,organism,sequence_length
WP_278302035,gvpH,Unknown,Natronococcus sp. A-GB7,180
WP_014732347,gvpH,Unknown,Haloferax,216
WP_440009974,gvpH,Unknown,Halomicrococcus sp. SG-WS-1,153
WP_435186742,gvpH,Unknown,Halobellus sp. EA9,189
WP_435154185,gvpH,Unknown,Haladaptatus sp. DFWS20,132
WP_435076950,gvpH,Unknown,Halococcus sp. AFM35,149
WP_423987444,gvpH,Unknown,Haladaptatus sp.,140
WP_423744845,gvpH,Unknown,Haladaptatus sp. SPP-AMP-3,140
WP_375803148,gvpH,Unknown,Salinibacter sp.,180
WP_227775555,gvpH,Unknown,Haladaptatus pallidirubidus,136
WP_006076711,gvpH,Unknown,Halococcus saccharolyticus,155
WP_310930320,gvpH,Unknown,Halogeometricum luteum,161
WP_253738029,gvpH,Unknown,Halohasta salina,166
WP_227373855,gvpH,Unknown,Haladaptatus halobius,138
WP_188786678,gvpH,Unknown,Halobellus salinus,188
WP_178335390,gvpH,Unknown,Natronomonas salina,167
WP_137291605,gvpH,Unknown,Natronorubrum halophilum,183
WP_137048436,gvpH,Unknown,Haloprofundus sp. MHR1,167
WP_372912940,gvpH,Unknown,Salinigranum sp.,148
WP_245242877,gvpH,Unknown,Natronococcus sp. JC468,180
WP_218806360,gvpH,Unknown,Methylococcus sp. Mc7,171
WP_124954515,gvpH,Unknown,Halocatena pleomorpha,148
WP_117364023,gvpH,Unknown,Natrarchaeobaculum sulfurireducens,197
WP_371162966,gvpH,Unknown,Halorubrum miltondacostae,182
WP_343233786,gvpH,Unknown,Natronococcus sp. A-GB7,129
WP_340604688,gvpH,Unknown,Halalkalicoccus tibetensis,174
WP_278292367,gvpH,Unknown,Natronococcus sp. A-GB1,180
WP_191453673,gvpH,Unknown,Halogeometricum sp. CBA1124,156
WP_152421658,gvpH,Unknown,Halogeometricum pallidum,163
WP_313692699,gvpH,Unknown,Halorarum halobium,235
WP_276303404,gvpH,Unknown,Halomarina halobia,174
WP_264780680,gvpH,Unknown,Haladaptatus sp. T7,140
WP_220579981,gvpH,Unknown,Haloarcula nitratireducens,161
WP_202802169,gvpH,Unknown,Halogranum rubrum,94
WP_163487433,gvpH,Unknown,Halogeometricum borinquense,193
WP_395284819,gvpH,Unknown,unclassified Haladaptatus,167
WP_373674325,gvpH,Unknown,Halopenitus sp. H-Gu1,187
WP_066146112,gvpH,Unknown,Haladaptatus sp. R4,140
WP_304825850,gvpH,Unknown,Candidatus Binatus sp.,170
WP_293031406,gvpH,Unknown,Natronococcus sp.,180
WP_224270098,gvpH,Unknown,Haloprofundus salinisoli,167
WP_101295446,gvpH,Unknown,Halegenticoccus soli,168
WP_336344905,gvpH,Unknown,Halalkalicoccus ordinarius,159
WP_266077542,gvpH,Unknown,Haladaptatus caseinilyticus,135
WP_253517929,gvpH,Unknown,Halorussus vallis,212
WP_227375848,gvpH,Unknown,Haladaptatus halobius,191
WP_216281672,gvpH,Unknown,Methylosinus sp. KRF6,171
WP_336363278,gvpH,Unknown,Halalkalicoccus salilacus,158
WP_267662987,gvpH,Unknown,Halorubrum yunnanense,186
WP_247995709,gvpH,Unknown,Halocatena salina,148
WP_227378519,gvpH,Unknown,Haladaptatus halobius,168
WP_092531719,gvpH,Unknown,Halopelagius longus,174
WP_379692602,gvpH,Unknown,Halopelagius fulvigenes,173
WP_331236525,gvpH,Unknown,Natronorarus salvus,170
WP_227355269,gvpH,Unknown,Haladaptatus salinisoli,188
WP_148860448,gvpH,Unknown,Natronococcus pandeyae,181
WP_076429426,gvpH,Unknown,Haladaptatus litoreus,135
WP_394742833,gvpH,Unknown,Natronococcus roseus,180
WP_256684660,gvpH,Unknown,Halococcus qingdaonensis,158
WP_227778850,gvpH,Unknown,Haladaptatus pallidirubidus,170
