sequence_id,source,protein_type,anchor_gene_id,nucleotide_acc,organism,genomic_position,product_annotation,length_aa,retrieval_date
GeneContext_gvpA_NC_010366.1_38996_39218,Gene context mining (anchor-based),gvpA,5954621,NC_010366.1,Halobacterium salinarum R1,38996_39218,hypothetical protein,73,2025-12-25
GeneContext_gvpA_NZ_CP042241.1_35422_35644,Gene context mining (anchor-based),gvpA,41183441,NZ_CP042241.1,Salarchaeum sp. JOR-1,35422_35644,hypothetical protein,73,2025-12-25
GeneContext_gvpA_NZ_AP026945.1_3229983_3230172,Gene context mining (anchor-based),gvpA,305507279,NZ_AP026945.1,Limnospira platensis NIES-39,3229983_3230172,hypothetical protein,62,2025-12-25
GeneContext_gvpA_NZ_AP026945.1_3230284_3230518,Gene context mining (anchor-based),gvpA,305507279,NZ_AP026945.1,Limnospira platensis NIES-39,3230284_3230518,hypothetical protein,77,2025-12-25
GeneContext_gvpA_NZ_JXYX01000004.1_176447_176642,Gene context mining (anchor-based),gvpA,66706977,NZ_JXYX01000004.1,Microcystis aeruginosa NIES-88,176447_176642,hypothetical protein,64,2025-12-25
GeneContext_gvpA_NZ_JXYX01000004.1_<211094_211283,Gene context mining (anchor-based),gvpA,66706977,NZ_JXYX01000004.1,Microcystis aeruginosa NIES-88,<211094_211283,hypothetical protein,62,2025-12-25
GeneContext_gvpA_NZ_LR882952.1_1337908_1338142,Gene context mining (anchor-based),gvpA,77287373,NZ_LR882952.1,Planktothrix agardhii,1337908_1338142,hypothetical protein,77,2025-12-26
GeneContext_gvpA_NZ_CP020114.1_976282_976465,Gene context mining (anchor-based),gvpA,78016220,NZ_CP020114.1,Nodularia spumigena UHCC 0039,976282_976465,hypothetical protein,60,2025-12-26
GeneContext_gvpF_NC_010366.1_38568_38838,Gene context mining (anchor-based),gvpF,5954621,NC_010366.1,Halobacterium salinarum R1,38568_38838,hypothetical protein,89,2025-12-25
GeneContext_gvpF_NZ_JXYX01000004.1_197450_197720,Gene context mining (anchor-based),gvpF,66706977,NZ_JXYX01000004.1,Microcystis aeruginosa NIES-88,197450_197720,hypothetical protein,89,2025-12-25
GeneContext_gvpF_NZ_JXYX01000004.1_210397_210649,Gene context mining (anchor-based),gvpF,66706977,NZ_JXYX01000004.1,Microcystis aeruginosa NIES-88,210397_210649,hypothetical protein,83,2025-12-25
GeneContext_gvpF_NZ_CP146626.1_162036_162306,Gene context mining (anchor-based),gvpF,89343663,NZ_CP146626.1,Halobacterium salinarum,162036_162306,hypothetical protein,89,2025-12-25
