accession,gene_name,protein_name,organism,sequence_length
WP_442454671,gvpT,Unknown,Priestia,290
WP_394556438,gvpT,Unknown,Priestia aryabhattai,291
WP_394548177,gvpT,Unknown,Priestia aryabhattai,293
WP_394548174,gvpT,Unknown,Priestia aryabhattai,158
WP_394512083,gvpT,Unknown,Priestia aryabhattai,299
WP_176732331,gvpT,Unknown,Priestia megaterium,298
WP_455919937,gvpT,Unknown,Priestia megaterium,302
WP_454870871,gvpT,Unknown,Priestia megaterium,295
WP_142129713,gvpT,Unknown,Rossellomorea marisflavi,151
WP_454189633,gvpT,Unknown,Priestia megaterium,300
WP_454101019,gvpT,Unknown,Metabacillus sp. SLBN-84,163
WP_454101013,gvpT,Unknown,Metabacillus sp. SLBN-84,249
WP_449053474,gvpT,Unknown,Priestia aryabhattai,293
WP_446933802,gvpT,Unknown,Priestia megaterium,292
WP_446929883,gvpT,Unknown,Priestia megaterium,295
WP_446687798,gvpT,Unknown,Priestia megaterium,296
WP_446244762,gvpT,Unknown,Rossellomorea sp. NS-SX7,160
WP_446244751,gvpT,Unknown,Rossellomorea sp. NS-SX7,260
WP_445508943,gvpT,Unknown,Rossellomorea marisflavi,243
WP_445508940,gvpT,Unknown,Rossellomorea marisflavi,150
WP_444685557,gvpT,Unknown,Alkalicoccus luteus,198
WP_443148251,gvpT,Unknown,Oceanobacillus sp. M65,150
WP_443148247,gvpT,Unknown,Oceanobacillus sp. M65,290
WP_443143382,gvpT,Unknown,Pseudalkalibacillus sp. R45,234
WP_443143373,gvpT,Unknown,Pseudalkalibacillus sp. R45,147
WP_442637012,gvpT,Unknown,Rossellomorea marisflavi,150
WP_440388913,gvpT,Unknown,Priestia megaterium,296
WP_439866769,gvpT,Unknown,Priestia megaterium,294
WP_439300224,gvpT,Unknown,Pseudalkalibacillus sp. Hm43,218
WP_435988892,gvpT,Unknown,Rossellomorea sp. LjRoot5,296
WP_435988885,gvpT,Unknown,Rossellomorea sp. LjRoot5,163
WP_435755046,gvpT,Unknown,Salipaludibacillus sp. CF4.18,273
WP_433742434,gvpT,Unknown,Falsibacillus pallidus,158
WP_433742421,gvpT,Unknown,Falsibacillus pallidus,253
WP_432694040,gvpT,Unknown,Priestia aryabhattai,295
WP_430495297,gvpT,Unknown,Rossellomorea marisflavi,246
WP_430482584,gvpT,Unknown,Rossellomorea marisflavi,254
WP_430342599,gvpT,Unknown,Rossellomorea marisflavi,246
WP_430339808,gvpT,Unknown,Rossellomorea vietnamensis,280
WP_430339805,gvpT,Unknown,Rossellomorea vietnamensis,163
WP_430337572,gvpT,Unknown,Rossellomorea vietnamensis,293
WP_430337565,gvpT,Unknown,Rossellomorea vietnamensis,163
WP_430247464,gvpT,Unknown,Priestia megaterium,292
WP_430245696,gvpT,Unknown,Priestia megaterium,293
WP_430135700,gvpT,Unknown,Priestia aryabhattai,290
WP_430127184,gvpT,Unknown,Priestia aryabhattai,289
WP_430127179,gvpT,Unknown,Priestia aryabhattai,158
WP_430073886,gvpT,Unknown,Priestia aryabhattai,158
WP_430073882,gvpT,Unknown,Priestia aryabhattai,291
WP_430058163,gvpT,Unknown,Priestia aryabhattai,290
WP_430055793,gvpT,Unknown,Priestia aryabhattai,291
WP_430052023,gvpT,Unknown,Priestia aryabhattai,290
WP_430048483,gvpT,Unknown,Priestia aryabhattai,291
WP_430006382,gvpT,Unknown,Metabacillus idriensis,277
WP_430006375,gvpT,Unknown,Metabacillus idriensis,161
WP_430313473,gvpT,Unknown,Rossellomorea sp. NRS-1567,163
WP_430313470,gvpT,Unknown,Rossellomorea sp. NRS-1567,271
WP_429666700,gvpT,Unknown,Bacillus gobiensis,179
WP_429663434,gvpT,Unknown,Bacillus gobiensis,179
WP_427670238,gvpT,Unknown,Priestia megaterium,161
WP_427670235,gvpT,Unknown,Priestia megaterium,292
WP_427596956,gvpT,Unknown,Priestia megaterium,298
WP_427576712,gvpT,Unknown,Priestia megaterium,292
WP_427125807,gvpT,Unknown,Priestia megaterium,161
WP_427125806,gvpT,Unknown,Priestia megaterium,292
WP_427075915,gvpT,Unknown,Priestia megaterium,294
WP_426910010,gvpT,Unknown,Sutcliffiella horikoshii,249
WP_426894207,gvpT,Unknown,Sutcliffiella horikoshii,257
WP_426894203,gvpT,Unknown,Sutcliffiella horikoshii,158
WP_426892823,gvpT,Unknown,Rossellomorea aquimaris,273
WP_426892818,gvpT,Unknown,Rossellomorea aquimaris,163
WP_426867028,gvpT,Unknown,Metabacillus indicus,252
WP_426867022,gvpT,Unknown,Metabacillus indicus,163
WP_426659129,gvpT,Unknown,Priestia aryabhattai,294
WP_428976365,gvpT,Unknown,Rossellomorea sp. DUT-2,271
WP_428976362,gvpT,Unknown,Rossellomorea sp. DUT-2,163
WP_377574255,gvpT,Unknown,Priestia,294
WP_427599935,gvpT,Unknown,Rossellomorea sp. NPDC071047,163
WP_427599929,gvpT,Unknown,Rossellomorea sp. NPDC071047,271
WP_426863661,gvpT,Unknown,Metabacillus sp. 113a,305
WP_426845520,gvpT,Unknown,Metabacillus sp. 84,305
WP_394172543,gvpT,Unknown,Guptibacillus hwajinpoensis,288
WP_305912468,gvpT,Unknown,Guptibacillus hwajinpoensis,158
WP_236690374,gvpT,Unknown,Guptibacillus hwajinpoensis,158
WP_425205246,gvpT,Unknown,Priestia aryabhattai,295
WP_425203563,gvpT,Unknown,Priestia megaterium,292
WP_423144983,gvpT,Unknown,Priestia sp. 40,294
WP_421545254,gvpT,Unknown,Priestia megaterium,295
WP_421545250,gvpT,Unknown,Priestia megaterium,161
WP_421652998,gvpT,Unknown,Metabacillus sp. RGM 3146,392
WP_328120932,gvpT,Unknown,Priestia,161
WP_421178290,gvpT,Unknown,Metabacillus dongyingensis,161
WP_421178278,gvpT,Unknown,Metabacillus dongyingensis,276
WP_419244994,gvpT,Unknown,Rossellomorea marisflavi,245
WP_416787059,gvpT,Unknown,Priestia megaterium,301
WP_063191290,gvpT,Unknown,Rossellomorea,150
WP_048012086,gvpT,Unknown,Rossellomorea,246
WP_416104470,gvpT,Unknown,Priestia megaterium,295
WP_415382274,gvpT,Unknown,Priestia megaterium,161
WP_414185293,gvpT,Unknown,Priestia megaterium,161
WP_414185289,gvpT,Unknown,Priestia megaterium,292
WP_413917176,gvpT,Unknown,Priestia megaterium,158
WP_413917168,gvpT,Unknown,Priestia megaterium,291
WP_413026213,gvpT,Unknown,Priestia aryabhattai,291
WP_412035995,gvpT,Unknown,Priestia megaterium,296
WP_411981140,gvpT,Unknown,Priestia aryabhattai,294
WP_413242318,gvpT,Unknown,Paenibacillus sp. 1P07SE,269
WP_251460725,gvpT,Unknown,Priestia,292
WP_411334368,gvpT,Unknown,Metabacillus indicus,252
WP_411334365,gvpT,Unknown,Metabacillus indicus,163
WP_411305757,gvpT,Unknown,Priestia aryabhattai,301
WP_411159688,gvpT,Unknown,Rossellomorea oryzaecorticis,169
WP_411159684,gvpT,Unknown,Rossellomorea oryzaecorticis,303
WP_139314678,gvpT,Unknown,Alkalihalophilus pseudofirmus,314
WP_028409326,gvpT,Unknown,Priestia megaterium,291
WP_409303449,gvpT,Unknown,Peribacillus sedimenti,184
WP_409303428,gvpT,Unknown,Peribacillus sedimenti,524
WP_409293713,gvpT,Unknown,Paraperibacillus marinus,177
WP_409293697,gvpT,Unknown,Paraperibacillus marinus,172
WP_409293695,gvpT,Unknown,Paraperibacillus marinus,868
WP_409293112,gvpT,Unknown,Paraperibacillus esterisolvens,812
WP_409293111,gvpT,Unknown,Paraperibacillus esterisolvens,164
WP_409293094,gvpT,Unknown,Paraperibacillus esterisolvens,172
WP_409274776,gvpT,Unknown,Neobacillus oceani,145
WP_408011835,gvpT,Unknown,Pseudalkalibacillus sp. A8,149
WP_408008758,gvpT,Unknown,Pseudalkalibacillus sp. A8,272
WP_406866377,gvpT,Unknown,Priestia megaterium,296
WP_406686013,gvpT,Unknown,Rossellomorea vietnamensis,279
WP_406901219,gvpT,Unknown,Priestia sp. 179-F W1.4 NHS,295
WP_404459138,gvpT,Unknown,Sutcliffiella horikoshii,156
WP_404459129,gvpT,Unknown,Sutcliffiella horikoshii,267
WP_404444701,gvpT,Unknown,Sutcliffiella horikoshii,144
WP_404444683,gvpT,Unknown,Sutcliffiella horikoshii,248
WP_404429032,gvpT,Unknown,Sutcliffiella horikoshii,151
WP_404429027,gvpT,Unknown,Sutcliffiella horikoshii,266
WP_404347314,gvpT,Unknown,Sutcliffiella horikoshii,266
WP_404455641,gvpT,Unknown,Oceanobacillus kapialis,278
WP_404455624,gvpT,Unknown,Oceanobacillus kapialis,153
WP_404405683,gvpT,Unknown,Jeotgalibacillus malaysiensis,446
WP_397553628,gvpT,Unknown,Rossellomorea aquimaris,163
WP_397553633,gvpT,Unknown,Rossellomorea aquimaris,271
WP_224944264,gvpT,Unknown,Rossellomorea,161
WP_397550612,gvpT,Unknown,Rossellomorea sp. NPDC077527,261
WP_390357989,gvpT,Unknown,Tigheibacillus halophilus,192
WP_390354432,gvpT,Unknown,Tigheibacillus halophilus,270
WP_390354416,gvpT,Unknown,Tigheibacillus halophilus,146
WP_387535264,gvpT,Unknown,Priestia megaterium,300
WP_387382970,gvpT,Unknown,Priestia megaterium,295
WP_394222029,gvpT,Unknown,Priestia aryabhattai,295
WP_394140832,gvpT,Unknown,Cytobacillus oceanisediminis,201
WP_394140830,gvpT,Unknown,Cytobacillus oceanisediminis,725
WP_379551249,gvpT,Unknown,Oceanobacillus picturae,295
WP_379551238,gvpT,Unknown,Oceanobacillus picturae,153
WP_378939351,gvpT,Unknown,Metabacillus herbersteinensis,230
WP_378939330,gvpT,Unknown,Metabacillus herbersteinensis,153
WP_377546775,gvpT,Unknown,Priestia megaterium,289
WP_377537073,gvpT,Unknown,Priestia megaterium,161
WP_377521423,gvpT,Unknown,Priestia megaterium,288
WP_377521417,gvpT,Unknown,Priestia megaterium,149
WP_390251843,gvpT,Unknown,Gracilibacillus xinjiangensis,197
WP_379560673,gvpT,Unknown,Oceanobacillus kapialis,276
WP_379560663,gvpT,Unknown,Oceanobacillus kapialis,153
WP_377585182,gvpT,Unknown,unclassified Priestia,291
WP_377568903,gvpT,Unknown,unclassified Priestia,300
WP_377238398,gvpT,Unknown,unclassified Priestia,158
WP_377238396,gvpT,Unknown,unclassified Priestia,291
WP_299745338,gvpT,Unknown,unclassified Rossellomorea,274
WP_377907694,gvpT,Unknown,Bacillus daqingensis,197
WP_377574244,gvpT,Unknown,Priestia sp. YIM B13486,161
WP_377557805,gvpT,Unknown,Priestia sp. YIM B13480,291
WP_377261384,gvpT,Unknown,Priestia sp. YIM B13551,161
WP_377261381,gvpT,Unknown,Priestia sp. YIM B13551,292
WP_377108820,gvpT,Unknown,Rossellomorea sp. GCM10028870,163
WP_375345609,gvpT,Unknown,Priestia megaterium,291
WP_374988182,gvpT,Unknown,Priestia megaterium,286
WP_374148981,gvpT,Unknown,Priestia megaterium,293
WP_374055301,gvpT,Unknown,Rossellomorea sp. FM04394,163
WP_374055296,gvpT,Unknown,Rossellomorea sp. FM04394,271
WP_181170496,gvpT,Unknown,Priestia,292
WP_370296159,gvpT,Unknown,Rossellomorea marisflavi,244
WP_369735251,gvpT,Unknown,Metabacillus sp. JX24,163
WP_369735247,gvpT,Unknown,Metabacillus sp. JX24,249
WP_063247391,gvpT,Unknown,Priestia,291
WP_368502973,gvpT,Unknown,Alkalihalophilus sp. As8PL,300
WP_368502963,gvpT,Unknown,Alkalihalophilus sp. As8PL,150
WP_367036690,gvpT,Unknown,Rossellomorea marisflavi,150
WP_367017855,gvpT,Unknown,Priestia koreensis,237
WP_354573179,gvpT,Unknown,Halalkalibacter oceani,150
WP_235740481,gvpT,Unknown,Neobacillus drentensis,623
