sequence_id,length,legal_chars,length_in_train_range,family_profile_hit,faithful
lstm_temp0.8_seed42_0000,73,True,True,True,True
lstm_temp0.8_seed42_0001,72,True,True,True,True
lstm_temp0.8_seed42_0002,72,True,True,True,True
lstm_temp0.8_seed42_0003,72,True,True,True,True
lstm_temp0.8_seed42_0004,72,True,True,True,True
lstm_temp0.8_seed42_0005,72,True,True,True,True
lstm_temp0.8_seed42_0006,70,True,True,True,True
lstm_temp0.8_seed42_0007,72,True,True,True,True
lstm_temp0.8_seed42_0008,75,True,True,True,True
lstm_temp0.8_seed42_0009,72,True,True,True,True
lstm_temp0.8_seed42_0010,72,True,True,True,True
lstm_temp0.8_seed42_0011,72,True,True,True,True
lstm_temp0.8_seed42_0012,72,True,True,True,True
lstm_temp0.8_seed42_0013,71,True,True,True,True
lstm_temp0.8_seed42_0014,72,True,True,True,True
lstm_temp0.8_seed42_0015,73,True,True,True,True
lstm_temp0.8_seed42_0016,73,True,True,True,True
lstm_temp0.8_seed42_0017,72,True,True,True,True
lstm_temp0.8_seed42_0018,71,True,True,True,True
lstm_temp0.8_seed42_0019,72,True,True,True,True
lstm_temp0.8_seed42_0020,62,True,True,True,True
lstm_temp0.8_seed42_0021,71,True,True,True,True
lstm_temp0.8_seed42_0022,72,True,True,True,True
lstm_temp0.8_seed42_0023,71,True,True,True,True
lstm_temp0.8_seed42_0024,72,True,True,True,True
lstm_temp0.8_seed42_0025,78,True,True,True,True
lstm_temp0.8_seed42_0026,71,True,True,True,True
lstm_temp0.8_seed42_0027,72,True,True,True,True
lstm_temp0.8_seed42_0028,73,True,True,True,True
lstm_temp0.8_seed42_0029,65,True,True,True,True
lstm_temp0.8_seed42_0030,72,True,True,True,True
lstm_temp0.8_seed42_0031,71,True,True,True,True
lstm_temp0.8_seed42_0032,72,True,True,True,True
lstm_temp0.8_seed42_0033,73,True,True,True,True
lstm_temp0.8_seed42_0034,73,True,True,True,True
lstm_temp0.8_seed42_0035,72,True,True,True,True
lstm_temp0.8_seed42_0036,73,True,True,True,True
lstm_temp0.8_seed42_0037,71,True,True,True,True
lstm_temp0.8_seed42_0038,72,True,True,True,True
lstm_temp0.8_seed42_0039,72,True,True,True,True
lstm_temp0.8_seed42_0040,71,True,True,True,True
lstm_temp0.8_seed42_0041,73,True,True,True,True
lstm_temp0.8_seed42_0042,73,True,True,True,True
lstm_temp0.8_seed42_0043,72,True,True,True,True
lstm_temp0.8_seed42_0044,72,True,True,True,True
lstm_temp0.8_seed42_0045,72,True,True,True,True
lstm_temp0.8_seed42_0046,74,True,True,True,True
lstm_temp0.8_seed42_0047,68,True,True,True,True
lstm_temp0.8_seed42_0048,72,True,True,True,True
lstm_temp0.8_seed42_0049,71,True,True,True,True
lstm_temp0.8_seed42_0050,71,True,True,True,True
lstm_temp0.8_seed42_0051,75,True,True,True,True
lstm_temp0.8_seed42_0052,71,True,True,True,True
lstm_temp0.8_seed42_0053,71,True,True,True,True
lstm_temp0.8_seed42_0054,72,True,True,True,True
lstm_temp0.8_seed42_0055,72,True,True,True,True
lstm_temp0.8_seed42_0056,72,True,True,True,True
lstm_temp0.8_seed42_0057,72,True,True,True,True
lstm_temp0.8_seed42_0058,72,True,True,True,True
lstm_temp0.8_seed42_0059,75,True,True,True,True
lstm_temp0.8_seed42_0060,72,True,True,True,True
lstm_temp0.8_seed42_0061,71,True,True,True,True
lstm_temp0.8_seed42_0062,72,True,True,True,True
lstm_temp0.8_seed42_0063,73,True,True,True,True
lstm_temp0.8_seed42_0064,72,True,True,True,True
lstm_temp0.8_seed42_0065,73,True,True,True,True
lstm_temp0.8_seed42_0066,73,True,True,True,True
lstm_temp0.8_seed42_0067,72,True,True,True,True
lstm_temp0.8_seed42_0068,72,True,True,True,True
lstm_temp0.8_seed42_0069,71,True,True,True,True
lstm_temp0.8_seed42_0070,69,True,True,True,True
lstm_temp0.8_seed42_0071,71,True,True,True,True
lstm_temp0.8_seed42_0072,72,True,True,True,True
lstm_temp0.8_seed42_0073,72,True,True,True,True
lstm_temp0.8_seed42_0074,71,True,True,True,True
lstm_temp0.8_seed42_0075,73,True,True,True,True
lstm_temp0.8_seed42_0076,73,True,True,True,True
lstm_temp0.8_seed42_0077,73,True,True,True,True
lstm_temp0.8_seed42_0078,71,True,True,True,True
lstm_temp0.8_seed42_0079,73,True,True,True,True
lstm_temp0.8_seed42_0080,71,True,True,True,True
lstm_temp0.8_seed42_0081,72,True,True,True,True
lstm_temp0.8_seed42_0082,71,True,True,True,True
lstm_temp0.8_seed42_0083,73,True,True,True,True
lstm_temp0.8_seed42_0084,72,True,True,True,True
lstm_temp0.8_seed42_0085,72,True,True,True,True
lstm_temp0.8_seed42_0086,72,True,True,True,True
lstm_temp0.8_seed42_0087,71,True,True,True,True
lstm_temp0.8_seed42_0088,71,True,True,True,True
lstm_temp0.8_seed42_0089,72,True,True,True,True
lstm_temp0.8_seed42_0090,71,True,True,True,True
lstm_temp0.8_seed42_0091,71,True,True,True,True
lstm_temp0.8_seed42_0092,73,True,True,True,True
lstm_temp0.8_seed42_0093,80,True,True,True,True
lstm_temp0.8_seed42_0094,72,True,True,True,True
lstm_temp0.8_seed42_0095,71,True,True,True,True
lstm_temp0.8_seed42_0096,72,True,True,True,True
lstm_temp0.8_seed42_0097,71,True,True,True,True
lstm_temp0.8_seed42_0098,71,True,True,True,True
lstm_temp0.8_seed42_0099,71,True,True,True,True
