accession,gene_name,protein_name,organism,sequence_length
WP_449568204,gvpD,Unknown,Methanothrix soehngenii,456
WP_445871166,gvpD,Unknown,Candidatus Jordarchaeum sp.,486
WP_445871165,gvpD,Unknown,Candidatus Jordarchaeum sp.,476
WP_443338737,gvpD,Unknown,unclassified Cuniculiplasma,482
WP_430012154,gvpD,Unknown,Methanothrix sp.,453
WP_226693449,gvpD,Unknown,Providencia,229
WP_424759180,gvpD,Unknown,Methanothrix sp.,453
WP_422579269,gvpD,Unknown,Methanothrix sp.,456
WP_422573416,gvpD,Unknown,Methanothrix sp.,456
WP_422571100,gvpD,Unknown,Methanothrix sp.,456
WP_176965707,gvpD,Unknown,Methanolobus zinderi,446
WP_288069905,gvpD,Unknown,Methanolobus sp.,446
WP_276986719,gvpD,Unknown,Methanothrix soehngenii,456
WP_091709042,gvpD,Unknown,Methanolobus vulcani,446
WP_348304083,gvpD,Unknown,Methanothrix sp.,456
WP_328161343,gvpD,Unknown,Cytobacillus praedii,567
WP_188679259,gvpD,Unknown,Thermogymnomonas acidicola,478
WP_319508465,gvpD,Unknown,uncultured Methanolobus sp.,446
WP_296610005,gvpD,Unknown,Methanothrix sp.,454
WP_292539949,gvpD,Unknown,Methanothrix sp.,456
WP_276836490,gvpD,Unknown,Methanothrix soehngenii,456
WP_154810500,gvpD,Unknown,Methanolobus vulcani,446
WP_406671058,gvpD,Unknown,Methanolobus sp. ZRKC4,446
WP_406656557,gvpD,Unknown,Methanolobus sp. ZRKC2,446
WP_094228056,gvpD,Unknown,Methanolobus psychrotolerans,446
WP_393970894,gvpD,Unknown,Oxyplasma meridianum,479
WP_162509307,gvpD,Unknown,Thermogymnomonas acidicola,128
WP_321429263,gvpD,Unknown,uncultured Methanolobus sp.,446
WP_276968431,gvpD,Unknown,Metallibacterium scheffleri,225
WP_209615317,gvpD,Unknown,Methanolobus bombayensis,446
WP_103286933,gvpD,Unknown,Candidatus Nitrosocaldus,485
WP_011695646,gvpD,Unknown,Methanothrix,454
WP_091937861,gvpD,Unknown,Methanolobus profundi,446
WP_342305976,gvpD,Unknown,Methanolobus sp. ZRKC5,446
WP_292468751,gvpD,Unknown,Methanolobus sp.,446
WP_135388392,gvpD,Unknown,Methanolobus halotolerans,446
WP_075056661,gvpD,Unknown,Thermogymnomonas acidicola,80
WP_286858016,gvpD,Unknown,Methanothrix,456
WP_285270945,gvpD,Unknown,Halobacterium salinarum,284
WP_023844616,gvpD,Unknown,Methanolobus tindarius,446
WP_021789103,gvpD,Unknown,Cuniculiplasma divulgatum,482
WP_309307996,gvpD,Unknown,Methanolobus mangrovi,446
WP_305311219,gvpD,Unknown,Methanolobus sp.,446
WP_167661855,gvpD,Unknown,Paenalcaligenes hominis,1013
WP_013720263,gvpD,Unknown,Methanothrix,456
WP_407282821,gvpD,Unknown,unclassified Methanolobus,446
WP_292463358,gvpD,Unknown,Methanolobus sp.,446
WP_010917356,gvpD,Unknown,Thermoplasma volcanium,475
WP_019920874,gvpD,Unknown,Duganella zoogloeoides,247
WP_171977592,gvpD,Unknown,Brasilonema sennae,480
WP_305824068,gvpD,Unknown,Massilia brevitalea,506
WP_290872706,gvpD,Unknown,Gracilimonas sp.,477
WP_284006820,gvpD,Unknown,Haloarcula pelagica,485
WP_280901152,gvpD,Unknown,Halorubrum alkaliphilum,272
WP_267636734,gvpD,Unknown,Halovenus rubra,483
WP_267162185,gvpD,Unknown,Halovenus salina,483
WP_256287762,gvpD,Unknown,Halobellus inordinatus,484
WP_214430305,gvpD,Unknown,Dendronalium phyllosphericum,480
WP_205166562,gvpD,Unknown,Alteribacter salitolerans,569
WP_201249653,gvpD,Unknown,Peribacillus sp. TH27,569
WP_190704820,gvpD,Unknown,unclassified Nostoc,480
WP_176964135,gvpD,Unknown,Methanolobus zinderi,455
WP_169616966,gvpD,Unknown,Nodosilinea sp. P-1105,485
WP_169263240,gvpD,Unknown,Brasilonema octagenarum,480
WP_163493816,gvpD,Unknown,Kineobactrum salinum,482
WP_138497294,gvpD,Unknown,Nostoc sp. PA-18-2419,479
WP_135389308,gvpD,Unknown,Methanolobus halotolerans,455
WP_134020051,gvpD,Unknown,Modicisalibacter xianhensis,483
WP_126662341,gvpD,Unknown,Haloterrigena salifodinae,492
WP_279947769,gvpD,Unknown,Stenotrophomonas sp. GD03908,231
WP_229255505,gvpD,Unknown,Duganella phyllosphaerae,272
