uid,accession_version,title,organism,taxid,length,source_database,updated_date,found_by_annotation_query,found_by_prk09371_query
14521,CAA00064.1,gas vesicle protein A [Pseudanabaena],Pseudanabaena,1152,72,insd,1993/02/10,True,True
43392,CAA29467.1,gvpA gas vesicle protein [Microchaete diplosiphon],Microchaete diplosiphon,1197,71,insd,1996/10/01,False,True
43393,CAA29468.1,gvpB gas vesicle protein [Microchaete diplosiphon],Microchaete diplosiphon,1197,71,insd,1996/10/01,False,True
58403,CAA40898.1,"gas vesicle protein, partial [Pseudanabaena galeata PCC 6901]",Pseudanabaena galeata PCC 6901,47918,72,insd,2016/07/14,True,True
72630,SVIA,gas-vesicle protein - Microcystis sp,Microcystis sp.,1127,70,pir,1993/06/30,False,True
97673,S15168,gas-vesicle protein - Pseudanabaena sp,Pseudanabaena sp.,1153,72,pir,1999/08/20,False,True
121860,P10397.3,RecName: Full=Gas vesicle protein A; Short=GvpA; AltName: Full=Gas vesicle structural protein; Short=GVP,Dolichospermum flos-aquae,1166,71,swiss_prot,2026/09/02,True,True
121861,P07060.2,RecName: Full=Gas vesicle protein A; Short=GVP; Short=GvpA,Microchaete diplosiphon,1197,71,swiss_prot,2026/09/02,True,True
121863,P08412.3,RecName: Full=Gas vesicle protein A; Short=GvpA; AltName: Full=Gas vesicle structural protein,Microcystis sp. 'BC 84/1',1128,71,swiss_prot,2026/09/02,True,True
121864,P22453.2,RecName: Full=Gas vesicle protein A; Short=GvpA,Pseudanabaena galeata PCC 6901,47918,72,swiss_prot,2025/06/18,True,True
142017,AAA82499.1,gas vesicle protein A [Dolichospermum flos-aquae],Dolichospermum flos-aquae,1166,71,insd,1995/11/29,False,True
142018,AAA82497.1,gas vesicle protein A [Dolichospermum flos-aquae],Dolichospermum flos-aquae,1166,71,insd,1995/11/29,False,True
255836,AAB23331.1,"GvpA=structural gas vesicle protein {N-terminal} [Anabaena flos-aquae, Peptide Partial, 70 aa]",Dolichospermum flos-aquae,1166,70,insd,1992/11/24,False,True
255837,AAB23332.1,"GvpA=structural gas vesicle protein {N-terminal} [Calothrix, Peptide Partial, 70 aa]",Calothrix,1186,70,insd,1992/11/24,False,True
255838,AAB23333.1,"GvpA=structural gas vesicle protein {N-terminal} [Pseudanabaena, Peptide Partial, 71 aa]",Pseudanabaena,1152,71,insd,1992/11/24,False,True
255839,AAB23334.1,"GvpA=structural gas vesicle protein {N-terminal} [Oscillatoria agardhii, green, Peptide Partial, 62 aa]",Planktothrix agardhii,1160,62,insd,1992/11/24,False,True
595968,AAA58708.1,gas vesicle protein A [Dolichospermum flos-aquae CCAP 1403/13F],Dolichospermum flos-aquae CCAP 1403/13F,315271,71,insd,1995/01/04,True,True
595969,AAA58709.1,gas vesicle protein A [Dolichospermum flos-aquae CCAP 1403/13F],Dolichospermum flos-aquae CCAP 1403/13F,315271,71,insd,1995/01/04,True,True
2144932,SVXC,gas-vesicle protein - Calothrix sp. (strain PCC 7601),Calothrix sp.,1187,71,pir,2000/06/16,False,True
6119599,CAB59543.1,gas vesicle protein GvpA [Planktothrix rubescens],Planktothrix rubescens,59512,72,insd,2016/07/26,True,True
6119600,CAB59544.1,gas vesicle protein GvpA [Planktothrix rubescens],Planktothrix rubescens,59512,72,insd,2016/07/26,True,True
6119605,CAB59548.1,gas vesicle protein GvpA [Planktothrix rubescens],Planktothrix rubescens,59512,72,insd,2016/07/26,True,True
6119609,CAB59551.1,gas vesicle protein GvpA [Planktothrix rubescens],Planktothrix rubescens,59512,72,insd,2016/07/26,True,True
6119610,CAB59552.1,gas vesicle protein GvpA [Planktothrix rubescens],Planktothrix rubescens,59512,72,insd,2016/07/26,True,True
6119615,CAB59555.1,gas vesicle protein GvpA [Planktothrix rubescens],Planktothrix rubescens,59512,72,insd,2005/04/15,True,True
6119634,CAB59559.1,GvpA protein [Planktothrix rubescens CCAP 1459/22],Planktothrix rubescens CCAP 1459/22,329571,72,insd,2005/04/15,True,True
6119639,CAB59562.1,GvpA protein [Planktothrix rubescens CCAP 1459/22],Planktothrix rubescens CCAP 1459/22,329571,72,insd,2016/07/26,True,True
6119647,CAB59517.1,GvpA protein [Planktothrix agardhii NIVA-CYA 29],Planktothrix agardhii NIVA-CYA 29,329548,72,insd,2005/04/15,True,True
6119656,CAB59523.1,GvpA protein [Planktothrix agardhii NIVA-CYA 137],Planktothrix agardhii NIVA-CYA 137,329554,72,insd,2016/07/26,True,True
17131344,BAB73952.1,gas vesicle protein [Nostoc sp. PCC 7120 = FACHB-418],Nostoc sp. PCC 7120 = FACHB-418,103690,71,insd,2016/10/07,False,True
17131345,BAB73953.1,gas vesicle protein [Nostoc sp. PCC 7120 = FACHB-418],Nostoc sp. PCC 7120 = FACHB-418,103690,71,insd,2016/10/07,True,True
22095744,Q8XFU1.3,RecName: Full=Gas vesicle protein A; Short=GvpA,Nostoc sp. PCC 7120 = FACHB-418,103690,71,swiss_prot,2026/06/10,True,True
30515685,AAP34328.1,GvpA1 [Nodularia spumigena],Nodularia spumigena,70799,71,insd,2003/05/10,False,True
30515686,AAP34329.1,GvpA2 [Nodularia spumigena],Nodularia spumigena,70799,71,insd,2003/05/10,False,True
31296500,AAP46538.1,GvpA1 [Nodularia spumigena],Nodularia spumigena,70799,71,insd,2003/06/01,False,True
31296501,AAP46539.1,GvpA2 [Nodularia spumigena],Nodularia spumigena,70799,71,insd,2003/06/01,False,True
31296505,AAP46542.1,GvpA1 [Nodularia spumigena],Nodularia spumigena,70799,71,insd,2003/06/01,False,True
31296506,AAP46543.1,GvpA2 [Nodularia spumigena],Nodularia spumigena,70799,71,insd,2003/06/01,False,True
32448668,AAP82455.1,gas vesicle protein A1 [Microcystis sp. FACHB-854],Microcystis sp. FACHB-854,236300,71,insd,2016/07/25,False,True
32448672,AAP82458.1,gas vesicle protein A2 [Microcystis sp. FACHB-854],Microcystis sp. FACHB-854,236300,71,insd,2006/10/03,False,True
38348657,CAE11898.1,structural protein GvpAI [Microcystis aeruginosa PCC 7806],Microcystis aeruginosa PCC 7806,267872,71,insd,2004/04/05,False,True
