sequence_id,source,source_type,length,projection_1,projection_2,nearest_train_embedding_distance,embedding_outlier
ABG51546.1,Real cyanobacterial GvpA,real,75,1.3060867,-5.480239,0.07263255,False
ABG51547.1,Real cyanobacterial GvpA,real,72,1.0786792,-5.5545774,0.06647443,False
ABU55390.1,Real cyanobacterial GvpA,real,72,1.33391,-3.5611925,0.0,False
AOC53260.1,Real cyanobacterial GvpA,real,60,-1.9256095,-4.8157687,0.0,False
GAB4214070.1,Real cyanobacterial GvpA,real,72,2.5474997,-5.7135735,0.0673368,False
GAB4386638.1,Real cyanobacterial GvpA,real,72,2.2800314,-3.953009,0.00069053395,False
GEA25652.1,Real cyanobacterial GvpA,real,84,-2.4230847,-6.7292557,0.0,False
WP_002735503.1,Real cyanobacterial GvpA,real,71,-1.0598264,-7.0393777,0.0,False
WP_007357596.1,Real cyanobacterial GvpA,real,72,0.42284682,-1.986961,0.00048828125,False
WP_008311322.1,Real cyanobacterial GvpA,real,72,1.5728046,-4.8975325,0.00048828125,False
WP_009626980.1,Real cyanobacterial GvpA,real,72,1.3821617,-4.322652,0.00048828125,False
WP_009768191.1,Real cyanobacterial GvpA,real,72,2.253124,-5.800902,0.0,False
WP_010996411.1,Real cyanobacterial GvpA,real,71,-1.3688987,-6.4941354,0.0,False
WP_011316976.1,Real cyanobacterial GvpA,real,71,-1.1896716,-6.52687,0.00077204045,False
WP_011429717.1,Real cyanobacterial GvpA,real,72,1.9747026,-3.2038734,0.03515286,False
WP_012408764.1,Real cyanobacterial GvpA,real,73,-1.6679025,-4.3840466,0.00034526698,False
WP_015080752.1,Real cyanobacterial GvpA,real,71,-1.0715362,-6.2393193,0.0,False
WP_015146561.1,Real cyanobacterial GvpA,real,72,0.4312422,-3.9340534,0.0,False
WP_015164085.1,Real cyanobacterial GvpA,real,73,1.8702774,-3.2927163,0.0,False
WP_015167036.1,Real cyanobacterial GvpA,real,72,1.6203469,-3.443724,0.0,False
WP_015171018.1,Real cyanobacterial GvpA,real,72,1.5031253,-5.2379556,0.00034526698,False
WP_015224598.1,Real cyanobacterial GvpA,real,72,10.326426,2.1737235,0.22117767,False
WP_015229078.1,Real cyanobacterial GvpA,real,72,1.6069326,-1.4529887,0.13307388,False
