sequence_id,length,alignment_length,gap_fraction,identity_to_consensus,leading_gaps,trailing_gaps,internal_gaps,admission_route,provisional_source_flag,msa_outlier,msa_outlier_reasons
WP_007357596.1,72,115,0.373913,0.916667,23,20,0,strict_ncbi_metadata,,False,
WP_265902100.1,72,115,0.373913,0.958333,23,20,0,strict_ncbi_metadata,,False,
WP_446859740.1,72,115,0.373913,0.958333,23,20,0,strict_ncbi_metadata,,False,
WP_017721733.1,72,115,0.373913,0.902778,23,20,0,strict_ncbi_metadata,,False,
WP_017721725.1,72,115,0.373913,0.902778,23,20,0,strict_ncbi_metadata,,False,
WP_330483830.1,72,115,0.373913,0.944444,23,20,0,strict_ncbi_metadata,,False,
WP_425589715.1,80,115,0.304348,0.9375,0,21,14,strict_ncbi_metadata,,False,
WP_015164085.1,73,115,0.365217,0.876712,23,19,0,strict_ncbi_metadata,,False,
WP_425311603.1,80,115,0.304348,0.9375,0,21,14,strict_ncbi_metadata,,False,
WP_441007279.1,80,115,0.304348,0.925,0,21,14,strict_ncbi_metadata,,False,
WP_069965561.1,75,115,0.347826,0.92,23,17,0,strict_ncbi_metadata,,False,
WP_439345357.1,72,115,0.373913,0.930556,23,20,0,strict_ncbi_metadata,,False,
WP_431662249.1,72,115,0.373913,0.958333,23,20,0,strict_ncbi_metadata,,False,
WP_190575773.1,72,115,0.373913,0.930556,23,20,0,strict_ncbi_metadata,,False,
WP_430686742.1,72,115,0.373913,0.930556,23,20,0,strict_ncbi_metadata,,False,
WP_324632560.1,72,115,0.373913,0.875,23,20,0,strict_ncbi_metadata,,False,
WP_322732512.1,72,115,0.373913,0.958333,23,20,0,strict_ncbi_metadata,,False,
WP_335072082.1,78,115,0.321739,0.807692,23,0,14,strict_ncbi_metadata,,False,
WP_335059862.1,71,115,0.382609,0.929577,23,21,0,strict_ncbi_metadata,,False,
WP_335049349.1,73,115,0.365217,0.931507,23,19,0,strict_ncbi_metadata,,False,
WP_334789054.1,74,115,0.356522,0.918919,23,18,0,strict_ncbi_metadata,,False,
WP_334779866.1,71,115,0.382609,0.943662,23,21,0,strict_ncbi_metadata,,False,
WP_334710560.1,73,115,0.365217,0.931507,23,19,0,strict_ncbi_metadata,,False,
WP_426585015.1,91,115,0.208696,0.846154,23,0,1,strict_ncbi_metadata,,False,
WP_426542028.1,89,115,0.226087,0.853933,23,0,3,strict_ncbi_metadata,,False,
WP_323244924.1,70,115,0.391304,0.928571,23,21,1,strict_ncbi_metadata,,False,
WP_039726782.1,72,115,0.373913,0.944444,23,20,0,strict_ncbi_metadata,,False,
WP_322681236.1,72,115,0.373913,0.972222,23,20,0,strict_ncbi_metadata,,False,
WP_414404485.1,75,115,0.347826,0.893333,23,17,0,strict_ncbi_metadata,,False,
WP_414362100.1,75,115,0.347826,0.88,23,17,0,strict_ncbi_metadata,,False,
WP_414395174.1,75,115,0.347826,0.88,23,17,0,strict_ncbi_metadata,,False,
WP_193980327.1,71,115,0.382609,0.915493,23,21,0,strict_ncbi_metadata,,False,
WP_413173348.1,75,115,0.347826,0.853333,23,17,0,strict_ncbi_metadata,,False,
WP_413173347.1,74,115,0.356522,0.864865,23,18,0,strict_ncbi_metadata,,False,
WP_413173346.1,73,115,0.365217,0.876712,23,19,0,strict_ncbi_metadata,,False,
WP_413173345.1,75,115,0.347826,0.853333,23,17,0,strict_ncbi_metadata,,False,
WP_413173344.1,76,115,0.33913,0.855263,23,16,0,strict_ncbi_metadata,,False,
WP_190464766.1,72,115,0.373913,0.902778,23,20,0,strict_ncbi_metadata,,False,
WP_190463961.1,72,115,0.373913,0.902778,23,20,0,strict_ncbi_metadata,,False,
WP_324704072.1,72,115,0.373913,0.958333,23,20,0,strict_ncbi_metadata,,False,
WP_280793164.1,71,115,0.382609,0.929577,23,21,0,strict_ncbi_metadata,,False,
WP_283757384.1,72,115,0.373913,0.944444,23,20,0,strict_ncbi_metadata,,False,
WP_280652748.1,71,115,0.382609,0.915493,23,21,0,strict_ncbi_metadata,,False,
