accession,gene_name,protein_name,organism,sequence_length
WP_011433426,gvpN,Unknown,Cyanophyceae,294
WP_011429714,gvpN,Unknown,Cyanophyceae,294
WP_457482441,gvpN,Unknown,Thermostichus sp. MS-CIW-38,294
WP_367046451,gvpN,Unknown,Priestia,308
WP_394548175,gvpN,Unknown,Priestia aryabhattai,308
WP_455449567,gvpN,Unknown,Natrinema thermotolerans,341
WP_455919938,gvpN,Unknown,Priestia megaterium,308
WP_142129710,gvpN,Unknown,Rossellomorea marisflavi,310
WP_029322990,gvpN,Unknown,Priestia,308
WP_454916590,gvpN,Unknown,Xanthobacter sediminis,380
WP_454650951,gvpN,Unknown,Bradyrhizobium liaoningense,341
WP_328255409,gvpN,Unknown,Priestia megaterium,308
WP_454101017,gvpN,Unknown,Metabacillus sp. SLBN-84,303
WP_007357598,gvpN,Unknown,Oscillatoriales,407
WP_449245555,gvpN,Unknown,Desulfobacca acetoxidans,333
WP_449053476,gvpN,Unknown,Priestia aryabhattai,308
WP_448603538,gvpN,Unknown,Thermoleptolyngbya sp.,423
WP_448599809,gvpN,Unknown,Thermoleptolyngbya sp.,423
WP_448571436,gvpN,Unknown,Trichothermofontia sp.,506
WP_448274158,gvpN,Unknown,Nostoc sp. DSM 114160,245
WP_448268203,gvpN,Unknown,Nostoc sp. DSM 114159,390
WP_446286885,gvpN,Unknown,Salipiger marinus,311
WP_446278034,gvpN,Unknown,Salipiger marinus,311
WP_446877506,gvpN,Unknown,Phormidesmis sp. 146-33,428
WP_446869257,gvpN,Unknown,Phormidesmis sp. 146-12,428
WP_446859738,gvpN,Unknown,unclassified Phormidesmis,428
WP_446244758,gvpN,Unknown,Rossellomorea sp. NS-SX7,304
WP_445637991,gvpN,Unknown,Nostoc sp. DSM 114161,390
WP_445630238,gvpN,Unknown,Nostoc sp. DSM 114167,390
WP_017721727,gvpN,Unknown,Kamptonema formosum,304
WP_017715028,gvpN,Unknown,Kamptonema formosum,399
WP_416675453,gvpN,Unknown,Egbenema bharatensis,399
WP_004056708,gvpN,Unknown,Haloferax,347
WP_445241409,gvpN,Unknown,Microcoleus vaginatus,303
WP_006635605,gvpN,Unknown,Microcoleus vaginatus,307
WP_394584196,gvpN,Unknown,Halobacillus sp. B23F22_1,301
WP_394462034,gvpN,Unknown,Thalassobacillus sp. B23F22_16,309
WP_444721426,gvpN,Unknown,Natrinema sp. LN54,341
WP_377907698,gvpN,Unknown,Bacillaceae,337
WP_443143376,gvpN,Unknown,Pseudalkalibacillus sp. R45,303
WP_443134276,gvpN,Unknown,Halobacillus sp. K22,302
WP_443127557,gvpN,Unknown,Gracilibacillus sp. D59,305
WP_443122930,gvpN,Unknown,Halobacillus sp. B29,302
WP_443119795,gvpN,Unknown,Halobacillus sp. H74,301
WP_442908742,gvpN,Unknown,Halodesulfurarchaeum sp.,346
WP_441338670,gvpN,Unknown,Methanothrix soehngenii,358
WP_029566401,gvpN,Unknown,Metabacillus,303
WP_425217850,gvpN,Unknown,Tumidithrix helvetica,292
WP_015164083,gvpN,Unknown,Thalassoporum mexicanum,292
WP_440955507,gvpN,Unknown,Methanosarcina sp. Mfa9,319
WP_440771576,gvpN,Unknown,Natronorubrum sp. DTA28,341
WP_440764505,gvpN,Unknown,Natronorubrum sp. DTA7,341
WP_124192756,gvpN,Unknown,Natrarchaeobius oligotrophus,341
WP_069965563,gvpN,Unknown,Desertifilum,379
WP_440009978,gvpN,Unknown,Halomicrococcus sp. SG-WS-1,331
WP_439866768,gvpN,Unknown,Priestia megaterium,308
WP_369729627,gvpN,Unknown,Natrarchaeobius versutus,338
WP_439551175,gvpN,Unknown,Falsiroseomonas sp.,317
WP_439345355,gvpN,Unknown,Vacuolonema iberomarrocanum,449
WP_439300217,gvpN,Unknown,Pseudalkalibacillus sp. Hm43,303
WP_437163176,gvpN,Unknown,Falsiroseomonas sp. E2-1-a20,328
WP_436344291,gvpN,Unknown,Natronorubrum sp. FCH18a,341
WP_435988887,gvpN,Unknown,Rossellomorea sp. LjRoot5,307
WP_435763347,gvpN,Unknown,Oceanobacillus sp. CF4.6,304
WP_435755049,gvpN,Unknown,Salipaludibacillus sp. CF4.18,372
WP_435551396,gvpN,Unknown,Natrinema sp. CGMCC1.2065,341
WP_435550533,gvpN,Unknown,Desulfobacterium sp. N47,376
WP_434686552,gvpN,Unknown,Pseudanabaena minima,293
WP_435186756,gvpN,Unknown,Halobellus sp. EA9,347
WP_435027187,gvpN,Unknown,Nostoc sp. CALU 1950,390
WP_435011896,gvpN,Unknown,Tundrisphaera lichenicola,325
WP_434971878,gvpN,Unknown,Longibacter sp.,323
WP_434500613,gvpN,Unknown,Methylocystis sp.,327
WP_434496381,gvpN,Unknown,Methylocystis sp.,327
WP_433742428,gvpN,Unknown,Falsibacillus pallidus,301
WP_006616595,gvpN,Unknown,Oscillatoriales,394
WP_433807118,gvpN,Unknown,Halobacillus mangrovi,301
WP_433627163,gvpN,Unknown,Halomicrococcus sp. NG-SE-24,331
WP_432809518,gvpN,Unknown,Pantanalinema sp. GBBB05,421
WP_431802136,gvpN,Unknown,Halobacillus andaensis,303
WP_431721044,gvpN,Unknown,Zooshikella sp. RANM57,346
WP_431662247,gvpN,Unknown,Pantanalinema rosaneae,421
WP_431632861,gvpN,Unknown,Alkalinema pantanalense,546
WP_430790272,gvpN,Unknown,Virgibacillus flavescens,296
WP_430680214,gvpN,Unknown,unclassified Leptolyngbya,385
WP_430711588,gvpN,Unknown,Nodosilinea sp. AN01ver1,457
