accession,gene_name,protein_name,organism,sequence_length
WP_011429717,gvpA,Unknown,Cyanophyceae,72
WP_201675936,gvpA,Unknown,Ramlibacter monticola,143
WP_011523206,gvpA,Unknown,Candidatus Korobacter versatilis,98
WP_212716182,gvpA,Unknown,Zooshikella ganghwensis,73
WP_022949487,gvpA,Unknown,Methylohalobius crimeensis,82
WP_456223989,gvpA,Unknown,Priestia megaterium,86
WP_233491533,gvpA,Unknown,Legionella drancourtii,83
WP_207637540,gvpA,Unknown,Desulfotruncus alcoholivorax,74
WP_316679069,gvpA,Unknown,Ralstonia chuxiongensis,116
WP_213372596,gvpA,Unknown,Xanthobacteraceae,70
WP_007357596,gvpA,Unknown,Oscillatoriales,72
WP_265902100,gvpA,Unknown,Trichothermofontia,72
WP_449053447,gvpA,Unknown,Priestia aryabhattai,92
WP_446859740,gvpA,Unknown,unclassified Phormidesmis,72
WP_017721733,gvpA,Unknown,Kamptonema formosum,72
WP_017721725,gvpA,Unknown,Kamptonema formosum,72
WP_004056706,gvpA,Unknown,Haloferax,78
WP_394584192,gvpA,Unknown,Halobacillus sp. B23F22_1,97
WP_138244856,gvpA,Unknown,Natrinema,93
WP_427576720,gvpA,Unknown,Priestia megaterium,88
WP_427090790,gvpA,Unknown,Priestia megaterium,92
WP_426749826,gvpA,Unknown,Pseudomyxococcus flavus,74
WP_426659139,gvpA,Unknown,Priestia aryabhattai,92
WP_431193991,gvpA,Unknown,Microcystis aeruginosa,80
WP_430140347,gvpA,Unknown,Neobacillus pocheonensis,83
WP_430127181,gvpA,Unknown,Priestia aryabhattai,90
WP_430006374,gvpA,Unknown,Metabacillus idriensis,89
WP_428089254,gvpA,Unknown,Cylindrospermopsis raciborskii,70
WP_221567456,gvpA,Unknown,Bacillales,87
WP_443143372,gvpA,Unknown,Pseudalkalibacillus sp. R45,85
WP_128525920,gvpA,Unknown,Halobacillus,92
WP_257743183,gvpA,Unknown,Methanoplanus endosymbiosus,69
WP_342825632,gvpA,Unknown,Metabacillus,88
WP_330483830,gvpA,Unknown,Tumidithrix,72
WP_425589715,gvpA,Unknown,unclassified Microcystis (in: cyanobacteria),80
WP_015164085,gvpA,Unknown,Thalassoporum mexicanum,73
WP_425311603,gvpA,Unknown,Microcystis,80
WP_436344290,gvpA,Unknown,unclassified Natronorubrum,95
WP_440955508,gvpA,Unknown,Methanosarcina sp. Mfa9,75
WP_440769334,gvpA,Unknown,Natronorubrum sp. DTA28,95
WP_440765493,gvpA,Unknown,Natronorubrum sp. DTA7,95
WP_124192755,gvpA,Unknown,Natrarchaeobius oligotrophus,95
WP_069965561,gvpA,Unknown,Desertifilum,75
WP_433627171,gvpA,Unknown,unclassified Halomicrococcus,83
WP_113279097,gvpA,Unknown,Halomicrococcus sp. SG-WS-1,83
WP_006616598,gvpA,Unknown,Bacteria,72
WP_168048067,gvpA,Unknown,Falsiroseomonas,72
WP_436345017,gvpA,Unknown,Natronorubrum sp. FCH18a,95
WP_110939071,gvpA,Unknown,Salipaludibacillus,87
WP_435550518,gvpA,Unknown,Desulfobacterium sp. N47,72
WP_435348186,gvpA,Unknown,Haloarchaeobius sp. HRN-SO-5,86
WP_435186752,gvpA,Unknown,Halobellus sp. EA9,76
WP_435154202,gvpA,Unknown,Haladaptatus sp. DFWS20,82
WP_435154193,gvpA,Unknown,Haladaptatus sp. DFWS20,81
WP_435076947,gvpA,Unknown,Halococcus sp. AFM35,102
WP_433627166,gvpA,Unknown,Halomicrococcus sp. NG-SE-24,83
WP_431662249,gvpA,Unknown,Pantanalinema,72
WP_101841863,gvpA,Unknown,Halobacillus,97
WP_190575773,gvpA,Unknown,Alkalinema,72
WP_430790276,gvpA,Unknown,Virgibacillus flavescens,93
WP_430686742,gvpA,Unknown,Leptolyngbya sp. AN02str,72
