sequence_id,ncbi_taxid,ncbi_organism,length,cluster_95_representative,cluster_95_size,cluster_90_representative,cluster_90_size
WP_007357596.1,1150,Oscillatoriales,72,WP_007357596.1,2,WP_096607388.1,69
WP_265902100.1,3045815,Trichothermofontia,72,WP_088893383.1,26,WP_096607388.1,69
WP_446859740.1,2636038,unclassified Phormidesmis,72,WP_007357596.1,2,WP_096607388.1,69
WP_017721733.1,331992,Kamptonema formosum,72,WP_017721733.1,4,WP_168569945.1,10
WP_017721725.1,331992,Kamptonema formosum,72,WP_017721733.1,4,WP_200989004.1,74
WP_330483830.1,3088355,Tumidithrix,72,WP_204152466.1,23,WP_096607388.1,69
WP_425589715.1,3407010,unclassified Microcystis (in: cyanobacteria),80,WP_461927368.1,38,WP_200989004.1,74
WP_015164085.1,3457544,Thalassoporum mexicanum,73,WP_015164085.1,1,WP_096607388.1,69
WP_425311603.1,1125,Microcystis,80,WP_461927368.1,38,WP_200989004.1,74
WP_441007279.1,1126,Microcystis aeruginosa,80,WP_461927368.1,38,WP_200989004.1,74
WP_069965561.1,1185872,Desertifilum,75,WP_204152466.1,23,WP_096607388.1,69
WP_439345357.1,3454632,Vacuolonema iberomarrocanum,72,WP_088893383.1,26,WP_096607388.1,69
WP_431662249.1,1620699,Pantanalinema,72,WP_204152466.1,23,WP_096607388.1,69
WP_190575773.1,1620700,Alkalinema,72,WP_088893383.1,26,WP_096607388.1,69
WP_430686742.1,3423363,Leptolyngbya sp. AN02str,72,WP_088893383.1,26,WP_096607388.1,69
WP_324632560.1,2886104,Phormidium sp. CCY1219,72,WP_324632560.1,1,WP_168569945.1,10
WP_322732512.1,3075376,Nostoc sp. ChiQUE01b,72,WP_322732512.1,6,WP_168569945.1,10
WP_335072082.1,1180,Nostoc sp.,78,WP_298916699.1,2,WP_298916699.1,2
WP_335059862.1,1180,Nostoc sp.,71,WP_461927368.1,38,WP_200989004.1,74
WP_335049349.1,1180,Nostoc sp.,73,WP_086756007.1,8,WP_096607388.1,69
WP_334789054.1,1180,Nostoc sp.,74,WP_461927368.1,38,WP_200989004.1,74
WP_334779866.1,1180,Nostoc sp.,71,WP_461927368.1,38,WP_200989004.1,74
WP_334710560.1,1180,Nostoc sp.,73,WP_026789190.1,4,WP_096607388.1,69
WP_426585015.1,3692516,Dapis brunnea,91,WP_426585015.1,1,WP_293126616.1,5
WP_426542028.1,3692514,Dapis purpurea,89,WP_426542028.1,2,WP_293126616.1,5
WP_323244924.1,70799,Nodularia spumigena,70,WP_461927368.1,38,WP_200989004.1,74
WP_039726782.1,3028117,Cyanophyceae,72,WP_088893383.1,26,WP_096607388.1,69
