accession,gene_name,protein_name,organism,sequence_length
WP_435551401,gvpM,Unknown,Natrinema,117
WP_004056696,gvpM,Unknown,Haloferax,86
WP_444721433,gvpM,Unknown,Natrinema sp. LN54,107
WP_440771570,gvpM,Unknown,Natronorubrum sp. DTA28,123
WP_440764512,gvpM,Unknown,Natronorubrum sp. DTA7,114
WP_124192747,gvpM,Unknown,Natrarchaeobius oligotrophus,82
WP_440009963,gvpM,Unknown,Halomicrococcus sp. SG-WS-1,113
WP_369729635,gvpM,Unknown,Natrarchaeobius versutus,108
WP_436344282,gvpM,Unknown,Natronorubrum sp. FCH18a,121
WP_435348178,gvpM,Unknown,Haloarchaeobius sp. HRN-SO-5,95
WP_435186733,gvpM,Unknown,Halobellus sp. EA9,88
WP_435154175,gvpM,Unknown,Haladaptatus sp. DFWS20,82
WP_435076955,gvpM,Unknown,Halococcus sp. AFM35,79
WP_433627188,gvpM,Unknown,Halomicrococcus sp. NG-SE-24,113
WP_425499693,gvpM,Unknown,Halorarum halobium,131
WP_425491802,gvpM,Unknown,Halohasta salina,152
WP_423999123,gvpM,Unknown,Haloarcula salina,94
WP_069451073,gvpM,Unknown,unclassified Haladaptatus,82
WP_408958182,gvpM,Unknown,Natrinema sp. 74,107
WP_336364781,gvpM,Unknown,Halalkalicoccus salilacus,96
WP_336363282,gvpM,Unknown,Halalkalicoccus salilacus,99
WP_332101110,gvpM,Unknown,Halalkalicoccus,96
WP_332099666,gvpM,Unknown,Halalkalicoccus,95
WP_395282658,gvpM,Unknown,unclassified Haladaptatus,82
WP_394345792,gvpM,Unknown,Halegenticoccus tardaugens,162
WP_390283399,gvpM,Unknown,Haloarchaeobius amylolyticus,105
WP_390193515,gvpM,Unknown,Halalkalicoccus sp. GCM10025704,87
WP_253517940,gvpM,Unknown,Halorussus,112
WP_252487165,gvpM,Unknown,Natrialbaceae,120
WP_379826855,gvpM,Unknown,Halohasta litorea,172
WP_379692608,gvpM,Unknown,Halopelagius fulvigenes,98
WP_374063123,gvpM,Unknown,Natrinema sp. H-ect4,105
WP_006650644,gvpM,Unknown,Natrinema sp. H-ect1,117
WP_373674320,gvpM,Unknown,Halopenitus sp. H-Gu1,83
WP_373618824,gvpM,Unknown,Natrinema sp. HArc-T2,99
WP_373606512,gvpM,Unknown,Natronorubrum sp. A-ect3,100
WP_363465200,gvpM,Unknown,Halogeometricum borinquense,93
WP_342809834,gvpM,Unknown,Natronosalvus hydrolyticus,104
WP_340604682,gvpM,Unknown,Halalkalicoccus tibetensis,90
WP_339103154,gvpM,Unknown,Haloterrigena salinisoli,141
WP_338727014,gvpM,Unknown,Haladaptatus sp. DJG-WS-42,82
WP_336360700,gvpM,Unknown,Haladaptatus sp. ZSTT2,80
