accession,gene_name,protein_name,organism,sequence_length
WP_331281811,gvpF,Unknown,Planktothrix serta,286
WP_449416836,gvpF,Unknown,Phormidium nigroviride,244
WP_445630241,gvpF,Unknown,unclassified Nostoc,256
WP_448604595,gvpF,Unknown,Thermoleptolyngbya sp.,248
WP_448598553,gvpF,Unknown,Thermoleptolyngbya sp.,248
WP_448573084,gvpF,Unknown,Trichothermofontia sp.,251
WP_448561953,gvpF,Unknown,Trichothermofontia sp.,254
WP_448268201,gvpF,Unknown,Nostoc sp. DSM 114159,256
WP_446877509,gvpF,Unknown,Phormidesmis sp. 146-33,245
WP_446869260,gvpF,Unknown,Phormidesmis sp. 146-12,245
WP_446859734,gvpF,Unknown,unclassified Phormidesmis,245
WP_310995517,gvpF,Unknown,Planktothrix agardhii,261
WP_445637993,gvpF,Unknown,Nostoc sp. DSM 114161,256
WP_017721720,gvpF,Unknown,Kamptonema formosum,244
WP_416668120,gvpF,Unknown,Egbenema bharatensis,224
WP_439343420,gvpF,Unknown,Vacuolonema iberomarrocanum,244
WP_437126649,gvpF,Unknown,Planktothrix agardhii,261
WP_436799965,gvpF,Unknown,Planktothrix agardhii,261
WP_436799594,gvpF,Unknown,Planktothrix agardhii,261
WP_436799456,gvpF,Unknown,Planktothrix agardhii,261
WP_436799387,gvpF,Unknown,Planktothrix agardhii,261
WP_436799309,gvpF,Unknown,Planktothrix agardhii,261
WP_435027185,gvpF,Unknown,Nostoc sp. CALU 1950,249
WP_432809522,gvpF,Unknown,Pantanalinema sp. GBBB05,247
WP_431662244,gvpF,Unknown,Pantanalinema rosaneae,247
WP_431632858,gvpF,Unknown,Alkalinema pantanalense,244
WP_430711584,gvpF,Unknown,Nodosilinea sp. AN01ver1,244
WP_430686022,gvpF,Unknown,Leptolyngbya sp. AN02str,244
WP_430680218,gvpF,Unknown,unclassified Leptolyngbya,245
WP_427162958,gvpF,Unknown,Aliinostoc sp. HNIBRCY26,245
WP_426585022,gvpF,Unknown,Dapis sp. BLCC M229,245
WP_421657470,gvpF,Unknown,Leptothermofonsia sp. ETS-13,247
WP_420761519,gvpF,Unknown,Nostoc sp. CALU 546,249
WP_419547001,gvpF,Unknown,Microcystis sp.,244
WP_414753483,gvpF,Unknown,Anabaena sp. CCY 9910,244
WP_414570587,gvpF,Unknown,Nostoc sp. CCY 9925,249
WP_414518056,gvpF,Unknown,Nostoc sp. PCC 9305,247
WP_413281339,gvpF,Unknown,Floridanema evergladense,244
WP_413271857,gvpF,Unknown,Floridanema aerugineum,244
WP_413268519,gvpF,Unknown,Floridanema aerugineum,244
WP_413173339,gvpF,Unknown,Anabaena azotica,246
WP_409876896,gvpF,Unknown,Microcystis sp.,244
WP_409800851,gvpF,Unknown,Microcystis sp.,222
WP_409795733,gvpF,Unknown,Microcystis sp.,244
WP_409775973,gvpF,Unknown,Microcystis sp.,244
WP_408968171,gvpF,Unknown,Planktothrix sp.,244
WP_408963385,gvpF,Unknown,Planktothrix sp.,244
WP_392535982,gvpF,Unknown,Nostoc sp. C117,245
WP_392535241,gvpF,Unknown,Nostoc sp. C117,256
WP_392482738,gvpF,Unknown,Nostoc sp. C110,247
WP_377962579,gvpF,Unknown,Almyronema epifaneia,246
WP_375471833,gvpF,Unknown,uncultured Nostoc sp.,249
WP_374794081,gvpF,Unknown,Aerosakkonema,244
WP_368013044,gvpF,Unknown,Laspinema palackyanum,247
WP_368005827,gvpF,Unknown,Laspinema palackyanum,247
WP_367290607,gvpF,Unknown,Laspinema palackyanum,247
WP_348247074,gvpF,Unknown,Leptolyngbya sp. GB1-A1,244
WP_348242777,gvpF,Unknown,Leptolyngbya sp. DQ-M1,245
WP_346732948,gvpF,Unknown,Planktothrix agardhii,261
WP_346732947,gvpF,Unknown,Planktothrix agardhii,261
WP_339435709,gvpF,Unknown,Planktothrix agardhii,261
WP_339373197,gvpF,Unknown,Planktothrix,261
WP_335231349,gvpF,Unknown,Nostoc sp.,249
WP_335221553,gvpF,Unknown,Nostoc sp.,245
WP_335196759,gvpF,Unknown,Nostoc sp.,249
WP_335186843,gvpF,Unknown,Nostoc sp.,247
WP_335181997,gvpF,Unknown,Nostoc sp.,247
WP_335166848,gvpF,Unknown,Nostoc sp.,249
WP_335150329,gvpF,Unknown,Nostoc sp.,247
WP_335143336,gvpF,Unknown,Nostoc sp.,245
WP_335135322,gvpF,Unknown,Nostoc sp.,249
WP_335101316,gvpF,Unknown,Nostoc sp.,249
WP_335094192,gvpF,Unknown,Nostoc sp.,249
WP_335085797,gvpF,Unknown,Nostoc sp.,247
WP_335072087,gvpF,Unknown,Nostoc sp.,244
WP_335063968,gvpF,Unknown,Nostoc sp.,247
WP_335059805,gvpF,Unknown,Nostoc sp.,245
