accession,gene_name,protein_name,organism,sequence_length
WP_457506384,gvpC,Unknown,Thermostichus sp. MS-CIW-36,340
WP_457503192,gvpC,Unknown,unclassified Thermostichus,343
WP_457490662,gvpC,Unknown,Thermostichus sp. MS-CIW-23,343
WP_457490494,gvpC,Unknown,Thermostichus sp. MS-CIW-41,343
WP_457482442,gvpC,Unknown,Thermostichus sp. MS-CIW-38,343
WP_457474060,gvpC,Unknown,Thermostichus sp. MS-CIW-40,343
WP_457466976,gvpC,Unknown,Thermostichus sp. MS-CIW-37,340
WP_457444849,gvpC,Unknown,Thermostichus sp. MS-CIW-26,338
WP_457439356,gvpC,Unknown,unclassified Thermostichus,340
WP_457410566,gvpC,Unknown,Thermostichus sp. OS-CIW-30,338
WP_457406583,gvpC,Unknown,unclassified Thermostichus,341
WP_457404020,gvpC,Unknown,unclassified Thermostichus,343
WP_457394269,gvpC,Unknown,Thermostichus sp. OS-CIW-29,343
WP_457393993,gvpC,Unknown,unclassified Thermostichus,338
WP_457387790,gvpC,Unknown,unclassified Thermostichus,343
WP_457385553,gvpC,Unknown,unclassified Thermostichus,338
WP_451982800,gvpC,Unknown,Streptosporangium sandarakinum,367
WP_451943671,gvpC,Unknown,Streptosporangium sandarakinum,344
WP_006977752,gvpC,Unknown,Chthoniobacter flavus,327
WP_017715027,gvpC,Unknown,Kamptonema formosum,355
WP_416675451,gvpC,Unknown,Egbenema bharatensis,414
WP_442939221,gvpC,Unknown,Nostoc sp.,116
WP_441344133,gvpC,Unknown,Pseudomonas sp. SAR267,47
WP_434222839,gvpC,Unknown,Limnospira platensis,195
WP_234933774,gvpC,Unknown,Limnospira,151
WP_234933772,gvpC,Unknown,Limnospira platensis,151
WP_014275707,gvpC,Unknown,Limnospira platensis,284
WP_431662248,gvpC,Unknown,Pantanalinema rosaneae,403
WP_428374739,gvpC,Unknown,Lichenicoccus sp.,133
WP_427158191,gvpC,Unknown,Aliinostoc sp. HNIBRCY26,127
WP_157763556,gvpC,Unknown,Pseudomonas mosselii,34
WP_419547004,gvpC,Unknown,Microcystis sp.,212
WP_416340847,gvpC,Unknown,Thermanaerovibrio acidaminovorans,38
WP_323267757,gvpC,Unknown,unclassified Anabaena,129
WP_414753480,gvpC,Unknown,Anabaena sp. CCY 9910,129
WP_414524299,gvpC,Unknown,Umezakia ovalisporum,123
WP_414523963,gvpC,Unknown,Umezakia ovalisporum,61
WP_414523855,gvpC,Unknown,Umezakia ovalisporum,43
WP_414521363,gvpC,Unknown,Umezakia ovalisporum,85
WP_414521042,gvpC,Unknown,Umezakia ovalisporum,94
WP_414404484,gvpC,Unknown,unclassified Synechococcus,339
WP_414522790,gvpC,Unknown,Synechococcus sp. R5-12,338
WP_414520198,gvpC,Unknown,Synechococcus sp. H55.10,335
WP_414512601,gvpC,Unknown,Synechococcus sp. F70.1,335
WP_414510308,gvpC,Unknown,Synechococcus sp. OH20,335
WP_414389909,gvpC,Unknown,unclassified Synechococcus,338
WP_414371334,gvpC,Unknown,unclassified Synechococcus,339
WP_414350929,gvpC,Unknown,unclassified Synechococcus,338
WP_414337256,gvpC,Unknown,unclassified Synechococcus,335
WP_414334470,gvpC,Unknown,unclassified Synechococcus,335
WP_011433427,gvpC,Unknown,unclassified Synechococcus,338
WP_414427601,gvpC,Unknown,Synechococcus sp. R55.2,343
WP_414426954,gvpC,Unknown,Synechococcus sp. H55.8,335
WP_414426522,gvpC,Unknown,Synechococcus sp. H60.1,339
WP_414426308,gvpC,Unknown,Synechococcus sp. R60.1,343
WP_414426053,gvpC,Unknown,Synechococcus sp. R70.1,335
WP_414424298,gvpC,Unknown,Synechococcus sp. R6-5,343
WP_414423118,gvpC,Unknown,Synechococcus sp. WC10meta,335
WP_414421556,gvpC,Unknown,Synechococcus sp. W60.1,343
WP_414420960,gvpC,Unknown,Synechococcus sp. W70.1,335
WP_414419027,gvpC,Unknown,Synechococcus sp. R60.3,203
WP_414414336,gvpC,Unknown,Synechococcus sp. OH2,339
WP_414413695,gvpC,Unknown,Synechococcus sp. R8-2,314
WP_414412453,gvpC,Unknown,Synechococcus sp. O70.1,335
WP_414410161,gvpC,Unknown,Synechococcus sp. W65.1,335
WP_414407498,gvpC,Unknown,Synechococcus sp. R55.7,340
WP_414405736,gvpC,Unknown,Synechococcus sp. R65.1,335
WP_414404625,gvpC,Unknown,Synechococcus sp. OH30,339
WP_414399552,gvpC,Unknown,Synechococcus sp. R3-13,338
WP_414395173,gvpC,Unknown,Synechococcus sp. O70.2,335
WP_414388402,gvpC,Unknown,Synechococcus sp. 'PEA 65AY6A-5F PE A',340
WP_414385980,gvpC,Unknown,Synechococcus sp. H60.3,339
WP_414380836,gvpC,Unknown,Synechococcus sp. W55.2,338
WP_414377708,gvpC,Unknown,Synechococcus sp. H60.2,335
WP_414373430,gvpC,Unknown,Synechococcus sp. R50.1,338
WP_414364324,gvpC,Unknown,Synechococcus sp. B60.1,339
WP_414362098,gvpC,Unknown,Synechococcus sp. H65.1,339
WP_414356146,gvpC,Unknown,Synechococcus sp. R55.3,343
WP_414347816,gvpC,Unknown,Synechococcus sp. H55.11,335
WP_414343714,gvpC,Unknown,Synechococcus sp. R5-13,343
WP_414329425,gvpC,Unknown,Synechococcus sp. R6-10,338
WP_413281335,gvpC,Unknown,Floridanema evergladense,136
WP_413272299,gvpC,Unknown,Floridanema aerugineum,56
WP_413271862,gvpC,Unknown,Floridanema aerugineum,70
WP_413173343,gvpC,Unknown,Anabaena azotica,233
WP_374794085,gvpC,Unknown,Aerosakkonema,145
WP_374790015,gvpC,Unknown,Aerosakkonema,185
WP_193986055,gvpC,Unknown,[Phormidium] sp. LEGE 05292,169
WP_193984383,gvpC,Unknown,[Phormidium] sp. LEGE 05292,150
WP_190463960,gvpC,Unknown,Oscillatoriophycideae,145
WP_191472450,gvpC,Unknown,Pseudomonas,33
WP_143500703,gvpC,Unknown,Pseudomonas,26
WP_410223453,gvpC,Unknown,Limnospira platensis,146
WP_410245386,gvpC,Unknown,Arthrospira sp. PCC 8006,284
WP_409944790,gvpC,Unknown,Microcystis sp.,212
WP_374911984,gvpC,Unknown,Umezakia ovalisporum,158
WP_287972944,gvpC,Unknown,unclassified Microcystis (in: cyanobacteria),179
WP_280652061,gvpC,Unknown,Umezakia ovalisporum,125
WP_409837116,gvpC,Unknown,Microcystis sp.,212
WP_409795751,gvpC,Unknown,Microcystis sp.,212
WP_409770384,gvpC,Unknown,Microcystis sp.,212
WP_408975645,gvpC,Unknown,Planktothrix sp.,26
WP_408963381,gvpC,Unknown,Planktothrix sp.,128
WP_050046649,gvpC,Unknown,Nostocales,158
WP_406912034,gvpC,Unknown,Cylindrospermopsis raciborskii,220
WP_392203841,gvpC,Unknown,Streptomyces sp. NPDC014891,516
WP_389999930,gvpC,Unknown,Streptosporangium sandarakinum,489
WP_271988809,gvpC,Unknown,Microcystis,179
WP_375453068,gvpC,Unknown,uncultured Nostoc sp.,85
WP_375453067,gvpC,Unknown,uncultured Nostoc sp.,130
WP_173598131,gvpC,Unknown,Brevibacillus,30
WP_046320589,gvpC,Unknown,Limnospira fusiformis,149
WP_233497988,gvpC,Unknown,Limnospira,151
WP_008049836,gvpC,Unknown,Limnospira,284
WP_367448572,gvpC,Unknown,Streptomyces albogriseolus,85
WP_367317086,gvpC,Unknown,Holdemanella biformis,18
WP_354267203,gvpC,Unknown,Bacillus licheniformis,26
WP_054470494,gvpC,Unknown,Planktothricoides,128
WP_348867312,gvpC,Unknown,Klebsiella sp. CN_Kp100,48
WP_190432665,gvpC,Unknown,Trichocoleus,368
WP_348229470,gvpC,Unknown,Trichocoleus desertorum,368
WP_342397368,gvpC,Unknown,Candidatus Chlorohelix sp.,520
WP_096579801,gvpC,Unknown,Tolypothrix tenuis,162
WP_339460381,gvpC,Unknown,Nodularia spumigena,94
WP_335220713,gvpC,Unknown,Nostoc sp.,97
WP_335173777,gvpC,Unknown,Nostoc sp.,51
WP_335173773,gvpC,Unknown,Nostoc sp.,98
WP_335166134,gvpC,Unknown,Nostoc sp.,114
WP_335162310,gvpC,Unknown,Nostoc sp.,143
WP_335162307,gvpC,Unknown,Nostoc sp.,91
WP_335143404,gvpC,Unknown,Nostoc sp.,97
WP_335143341,gvpC,Unknown,Nostoc sp.,215
WP_335059811,gvpC,Unknown,Nostoc sp.,215
WP_335042427,gvpC,Unknown,Nostoc sp.,164
WP_335037587,gvpC,Unknown,Nostoc sp.,130
WP_334955094,gvpC,Unknown,Nostoc sp.,200
WP_334813340,gvpC,Unknown,Nostoc sp.,156
WP_334812878,gvpC,Unknown,Nostoc sp.,95
WP_334790787,gvpC,Unknown,Nostoc sp.,141
WP_334789059,gvpC,Unknown,Nostoc sp.,98
WP_334789055,gvpC,Unknown,Nostoc sp.,49
WP_334779865,gvpC,Unknown,Nostoc sp.,189
WP_334701538,gvpC,Unknown,Nostoc sp.,274
WP_334701506,gvpC,Unknown,Nostoc sp.,156
WP_265961669,gvpC,Unknown,Roseibium salinum,68
WP_324704071,gvpC,Unknown,Lyngbya sp. CCY1209,327
WP_323272158,gvpC,Unknown,Limnoraphis robusta,128
WP_323294464,gvpC,Unknown,Dolichospermum sp. UHCC 0684,74
WP_323294463,gvpC,Unknown,Dolichospermum sp. UHCC 0684,114
WP_323245818,gvpC,Unknown,Nodularia spumigena,91
WP_323245201,gvpC,Unknown,Nodularia spumigena,51
WP_323244647,gvpC,Unknown,Nodularia spumigena,59
WP_323209263,gvpC,Unknown,Nodularia spumigena,124
WP_322745296,gvpC,Unknown,Nostoc sp. LEGE 12447,135
WP_322732513,gvpC,Unknown,Nostoc sp. ChiQUE01b,151
WP_322712592,gvpC,Unknown,Nostoc sp. ChiSLP03a,151
WP_190470306,gvpC,Unknown,Aerosakkonema funiforme,218
WP_260378305,gvpC,Unknown,Limnospira,151
WP_006620383,gvpC,Unknown,Limnospira,284
WP_020323232,gvpC,Unknown,Klebsiella pneumoniae,48
WP_315645950,gvpC,Unknown,unclassified Limnospira,195
WP_315670396,gvpC,Unknown,Limnospira sp. PMC 289.06,151
WP_315663346,gvpC,Unknown,Limnospira sp. PMC 737.11,151
WP_303864044,gvpC,Unknown,Cylindrospermopsis raciborskii,220
WP_292812164,gvpC,Unknown,Nostoc sp. JL23,156
WP_292809827,gvpC,Unknown,Nostoc sp. JL23,274
WP_292793011,gvpC,Unknown,Nostoc sp. NMS7,49
WP_292790045,gvpC,Unknown,Nostoc sp. NMS7,71
WP_292739127,gvpC,Unknown,Nostoc sp. JL31,156
WP_292739054,gvpC,Unknown,Nostoc sp. JL31,274
WP_168634837,gvpC,Unknown,Nostocales,193
WP_287703644,gvpC,Unknown,unclassified Microcystis (in: cyanobacteria),212
WP_287693271,gvpC,Unknown,unclassified Microcystis (in: cyanobacteria),212
WP_287687229,gvpC,Unknown,unclassified Microcystis (in: cyanobacteria),179
WP_287674802,gvpC,Unknown,unclassified Microcystis (in: cyanobacteria),179
WP_287077467,gvpC,Unknown,unclassified Microcystis (in: cyanobacteria),179
WP_190723182,gvpC,Unknown,Microcystis,179
WP_104395504,gvpC,Unknown,Microcystis,212
WP_002803850,gvpC,Unknown,Microcystis,212
WP_002796980,gvpC,Unknown,Microcystis,212
WP_002773808,gvpC,Unknown,Microcystis,179
WP_002758529,gvpC,Unknown,Microcystis,212
WP_288140812,gvpC,Unknown,Microcystis sp. LE19-84.1B,179
WP_288116359,gvpC,Unknown,Microcystis sp. M53598_WE2,212
WP_288095366,gvpC,Unknown,Microcystis sp. M53603_WE2,204
WP_288094591,gvpC,Unknown,Microcystis sp. M53603_WE2,212
WP_288030868,gvpC,Unknown,Microcystis sp. LE18-22.4A,179
WP_287735007,gvpC,Unknown,Microcystis sp. M113S1,179
