accession,gene_name,protein_name,organism,sequence_length
WP_004056702,gvpG,Unknown,Haloferax,83
WP_440707770,gvpG,Unknown,Halococcus morrhuae,83
WP_113279100,gvpG,Unknown,Halomicrococcus sp. SG-WS-1,84
WP_435348184,gvpG,Unknown,Haloarchaeobius sp. HRN-SO-5,84
WP_435186744,gvpG,Unknown,Halobellus sp. EA9,83
WP_435154187,gvpG,Unknown,Haladaptatus sp. DFWS20,84
WP_435076949,gvpG,Unknown,Halococcus sp. AFM35,84
WP_433627176,gvpG,Unknown,Halomicrococcus sp. NG-SE-24,84
WP_423999113,gvpG,Unknown,Haloarcula salina,83
WP_007982676,gvpG,Unknown,Haladaptatus,84
WP_332099660,gvpG,Unknown,Halalkalicoccus,84
WP_231183146,gvpG,Unknown,unclassified Haladaptatus,84
WP_253517926,gvpG,Unknown,Halorussus,84
WP_379692600,gvpG,Unknown,Halopelagius fulvigenes,84
WP_009366042,gvpG,Unknown,Halogranum rubrum,83
WP_371162965,gvpG,Unknown,Halorubrum miltondacostae,83
WP_373674326,gvpG,Unknown,Halopenitus sp. H-Gu1,83
WP_135305015,gvpG,Unknown,Haloarcula,83
WP_092733781,gvpG,Unknown,Halobacteriales,83
WP_340604689,gvpG,Unknown,Halalkalicoccus tibetensis,84
WP_338727018,gvpG,Unknown,Haladaptatus sp. DJG-WS-42,83
WP_338034744,gvpG,Unknown,Halococcus morrhuae,78
WP_336360704,gvpG,Unknown,Haladaptatus sp. ZSTT2,83
WP_336344906,gvpG,Unknown,Halalkalicoccus ordinarius,84
WP_332897851,gvpG,Unknown,Haladaptatus sp. CMSO5,83
WP_332321132,gvpG,Unknown,Halodesulfurarchaeum sp.,83
WP_331236526,gvpG,Unknown,Natronorarus salvus,84
WP_313692697,gvpG,Unknown,Halorarum halobium,85
WP_310927097,gvpG,Unknown,Halogeometricum luteum,83
WP_310923163,gvpG,Unknown,Halogeometricum salsisoli,83
WP_304447144,gvpG,Unknown,Halomarina ordinaria,83
WP_286047209,gvpG,Unknown,Halalkalicoccus sp. NIPERK01,84
WP_276304825,gvpG,Unknown,Halomarina halobia,83
WP_276245663,gvpG,Unknown,unclassified Haladaptatus,83
WP_267662986,gvpG,Unknown,Halorubrum yunnanense,83
WP_267643772,gvpG,Unknown,Haloarchaeobius amylolyticus,83
WP_267623162,gvpG,Unknown,Halobium salinum,83
