accession,gene_name,protein_name,organism,sequence_length
WP_455449564,gvpL,Unknown,Natrinema thermotolerans,315
WP_004056697,gvpL,Unknown,Haloferax,322
WP_444721432,gvpL,Unknown,Natrinema sp. LN54,319
WP_440955496,gvpL,Unknown,Methanosarcina sp. Mfa9,261
WP_440771571,gvpL,Unknown,Natronorubrum sp. DTA28,320
WP_440764511,gvpL,Unknown,Natronorubrum sp. DTA7,320
WP_124192748,gvpL,Unknown,Natrarchaeobius oligotrophus,323
WP_440009965,gvpL,Unknown,Halomicrococcus sp. SG-WS-1,271
WP_369729634,gvpL,Unknown,Natrarchaeobius versutus,310
WP_436344283,gvpL,Unknown,Natronorubrum sp. FCH18a,320
WP_435551400,gvpL,Unknown,Natrinema sp. CGMCC1.2065,314
WP_435348179,gvpL,Unknown,Haloarchaeobius sp. HRN-SO-5,276
WP_435186735,gvpL,Unknown,Halobellus sp. EA9,284
WP_435154177,gvpL,Unknown,Haladaptatus sp. DFWS20,264
WP_435076954,gvpL,Unknown,Halococcus sp. AFM35,273
WP_433627186,gvpL,Unknown,Halomicrococcus sp. NG-SE-24,271
WP_425603024,gvpL,Unknown,Halosolutus gelatinilyticus,333
WP_425604287,gvpL,Unknown,Natrinema gelatinilyticum,317
WP_425494221,gvpL,Unknown,Natronobiforma cellulositropha,303
WP_423999121,gvpL,Unknown,Haloarcula salina,285
WP_423987440,gvpL,Unknown,Haladaptatus sp.,264
WP_423744849,gvpL,Unknown,Haladaptatus sp. SPP-AMP-3,266
WP_416285297,gvpL,Unknown,Natronococcus sp.,301
WP_416283348,gvpL,Unknown,Natronococcus sp.,255
WP_408958181,gvpL,Unknown,Natrinema sp. 74,313
WP_336363281,gvpL,Unknown,Halalkalicoccus salilacus,279
WP_332099665,gvpL,Unknown,Halalkalicoccus,278
WP_407075652,gvpL,Unknown,Natronococcus wangiae,294
WP_407039554,gvpL,Unknown,Halovalidus salilacus,327
WP_395282659,gvpL,Unknown,unclassified Haladaptatus,261
WP_394740375,gvpL,Unknown,Natronococcus roseus,301
WP_394348643,gvpL,Unknown,Halovivax sp.,360
WP_394342619,gvpL,Unknown,Saliphagus sp. LR7,297
WP_377070388,gvpL,Unknown,Natribaculum luteum,300
WP_277505194,gvpL,Unknown,unclassified Haladaptatus,259
WP_390284148,gvpL,Unknown,Haloarchaeobius amylolyticus,283
WP_252487166,gvpL,Unknown,Natrialbaceae,296
WP_382194480,gvpL,Unknown,Halorussus sp. GCM10023401,226
WP_380683279,gvpL,Unknown,Saliphagus infecundisoli,297
